		A2058_1	A2058_2	A2058_3	Skmel_1	Skmel_2	A431_1	A431_2	A431_3	SCC9_1	SCC9_2	HEK_2	HEK_3	HaCaT_1	HaCaT_2	HaCaT_3
		melanoma	melanoma	melanoma	melanoma	melanoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	normal	normal	normal
ENO1	IPI00465248_ENO1	87.63	64.94	83.51	85.78	81.18	260.81	111.52	106.24	335.94	236.84	248.91	142.36	290.91	128.40	214.35
EGFR	IPI00018274_EGFR	0.00	0.00	0.00	0.00	0.00	434.13	1141.36	1135.14	0.00	0.00	0.00	0.00	11.55	11.01	16.32
ACTB	IPI00021439_ACTB	125.83	99.98	153.70	53.24	47.55	123.80	67.32	109.04	119.88	243.02	74.21	101.03	205.85	188.94	206.74
LGALS3BP	IPI00023673_LGALS3BP	94.38	186.28	182.13	334.23	197.15	66.03	110.52	174.28	146.23	110.53	166.97	111.74	36.76	19.57	15.78
TGFBI	IPI00018219_TGFBI	0.00	0.00	0.00	201.13	71.90	135.36	120.57	153.78	109.34	74.83	0.00	7.65	180.64	111.28	147.43
SPARC	IPI00014572_SPARC	359.52	361.45	362.49	303.17	135.68	0.00	0.00	0.00	0.00	0.00	3.09	9.18	6.30	4.28	4.90
AGRN	IPI00374563_AGRN	62.92	71.78	71.08	70.99	68.42	148.56	205.97	162.16	55.33	50.11	26.28	16.84	136.53	67.87	59.84
PKM2	IPI00479186_PKM2	96.62	66.65	68.41	53.24	48.71	95.74	49.23	57.78	72.46	90.62	57.20	59.70	107.12	157.75	184.97
LAMC1	IPI00298281_LAMC1	143.81	148.68	129.71	158.24	176.27	54.47	96.45	70.83	54.01	35.01	102.04	131.64	72.47	34.24	35.36
FN1	IPI00022418_FN1	179.76	162.35	161.70	204.09	235.42	13.21	25.12	23.30	126.47	69.34	23.19	29.08	0.00	0.00	0.00
LAMB1	IPI00013976_LAMB1	139.32	143.55	142.15	207.04	189.03	34.66	57.27	57.78	50.01	26.09	64.93	85.72	7.35	12.23	8.70
HSPA8	IPI00003865_HSPA8	77.52	71.78	67.52	32.54	69.58	77.58	44.21	53.12	76.41	50.11	64.93	82.66	106.07	96.00	87.59
EEF2	IPI00186290_EEF2	104.49	58.96	55.08	31.06	41.75	108.94	39.18	48.46	71.14	56.98	120.59	93.37	67.21	81.32	85.41
CTSD	IPI00011229_CTSD	24.72	29.05	25.76	62.11	46.39	28.06	55.26	31.69	76.41	74.83	24.74	10.71	126.03	129.63	158.86
HSPG2	IPI00024284_HSPG2	61.79	79.47	78.18	59.16	62.62	153.51	345.62	228.33	13.17	14.42	4.64	0.00	6.30	6.11	7.62
HSPA1A	IPI00304925_HSPA1A	40.45	36.74	47.09	8.87	10.44	66.03	53.25	52.19	56.65	41.88	214.89	209.71	65.11	69.71	64.20
PSAP	IPI00219825_PSAP	47.19	58.11	39.98	133.10	120.61	24.76	62.29	24.23	40.84	56.29	47.93	30.61	59.86	51.97	44.07
CLSTN1	IPI00007257_CLSTN1	46.06	49.56	42.65	75.42	74.22	59.42	94.44	74.56	22.40	23.34	125.23	122.46	53.56	28.74	34.27
ALDOA	IPI00796333_ALDOA	48.31	45.29	47.98	59.16	60.30	72.63	46.22	48.46	111.98	75.52	61.84	75.00	50.41	59.92	45.16
