		MS_MS_Count_05fmolExp1	MS_MS_Count_05fmolExp2	MS_MS_Count_10fmolExp1	MS_MS_Count_10fmolExp2	MS_MS_Count_1fmolExp1	MS_MS_Count_1fmolExp2	MS_MS_Count_20fmolExp1	MS_MS_Count_20fmolExp2	MS_MS_Count_50fmolExp1	MS_MS_Count_50fmolExp2	MS_MS_Count_5fmolExp1	MS_MS_Count_5fmolExp2
		class1	class1	class1	class1	class1	class1	class2	class2	class2	class2	class2	class2
1	A0AV56__SAFB_SAFB2	1	2	1	0	1	0	3	1	0	3	1	0
2	A0AVT1__UBA6	0	1	0	0	0	1	0	0	0	0	0	0
3	O43264__ZW10	0	0	0	0	1	0	1	1	1	1	1	0
4	A1L0T0__ILVBL	0	0	0	1	0	0	0	0	0	1	1	0
5	A2A274__ACO2	1	1	1	1	0	0	1	0	1	3	1	2
6	P42696__RBM34	0	0	0	0	0	0	0	0	0	1	0	0
7	Q5VXU9__C9orf84	1	0	0	0	0	0	0	0	0	0	0	0
8	P35611_3__ADD1	1	0	0	0	0	0	1	0	0	0	1	0
9	B4DYX9__RDBP	0	0	0	1	0	0	0	0	0	0	0	1
10	F5GXA6__HLA_C_HLA_B_HLA_A_HLA_H	1	0	0	1	1	0	1	1	1	0	0	1
11	P29372__MPG_PIG16	1	0	0	0	1	0	0	0	0	0	0	0
12	A4D0Z6__IMPDH1	0	0	0	0	0	0	0	0	0	0	0	0
13	J3KNB1__XIRP2	0	0	0	0	0	0	0	0	0	0	0	0
14	A5YKK6__CNOT1	1	1	0	0	0	1	1	0	1	1	1	0
15	C9J837__RAB3GAP1	1	1	0	0	0	1	0	0	0	1	0	0
16	A6NCK0__NAE1	1	1	1	0	0	1	0	1	1	0	0	0
17	Q13620__CUL4B	1	1	1	0	1	0	1	0	0	1	1	0
18	A6NEM2__HCFC1	2	1	1	1	4	1	1	1	1	2	4	1
19	A6NFX8__NUDT5	2	2	0	2	2	2	2	2	1	2	1	1
20	A6NG51__SPTAN1	2	7	0	6	5	5	2	5	4	5	4	5
21	Q92733__PRCC	1	0	0	1	1	1	0	2	0	0	0	1
22	P05026__ATP1B1	0	1	0	0	0	0	0	0	0	0	0	0
23	B4DLH4__HN1L	0	1	0	0	0	0	1	0	2	2	0	1
24	A6NHR9__SMCHD1	0	1	0	1	1	0	0	0	0	1	3	0
25	Q5JWF2__GNAS	0	0	0	0	0	1	0	0	0	1	1	1
26	P54578__USP14	2	0	0	0	1	1	1	0	1	0	0	0
27	Q9H4A4__RNPEP	3	2	0	3	1	1	2	2	2	0	0	1
28	J3KNE0__RGPD3_RGPD4	0	0	0	1	0	0	0	0	0	1	1	0
29	P51571__SSR4	0	1	0	0	0	0	1	0	0	1	0	1
30	P22307__SCP2	0	0	0	1	1	1	1	0	1	0	3	1
