		12.5fmol_C4	12.5fmol_C5	12.5fmol_Ro	12.5fmol_C8	12.5fmol_C9	12.5fmol_C10	25fmol_semtumorS49	25fmol_semtumorS55	25fmol_semtumorS57	25fmol_semtumorS61	25fmol_semtumorS64	25fmol_semtumorS68	25fmol_semtumorT16	50fmol_T1T2S78	50fmol_T1T2S79	50fmol_T1T2T12	50fmol_T1T2T20	50fmol_T1T2T22	50fmol_T1T2T23	100fmol_T3T4S81	100fmol_T3T4S82	100fmol_T3T4T13	100fmol_T3T4T2	100fmol_T3T4T5	100fmol_T3T4T65	100fmol_T3T4T9
		12.5fmol 	12.5fmol 	12.5fmol 	12.5fmol 	12.5fmol 	12.5fmol 	25fmol 	25fmol 	25fmol 	25fmol 	25fmol 	25fmol 	25fmol 	50fmol 	50fmol 	50fmol 	50fmol 	50fmol 	50fmol 	100fmol 	100fmol 	100fmol 	100fmol 	100fmol 	100fmol 	100fmol 
P00330_ADH1	P00330_ADH1	26.93697	28.13707	26.29019	27.35498	27.73383	27.08274	28.16954	28.32513	29.54331	28.91308	28.886	27.63201	28.71326	30.45435	30.32807	31.02565	30.69876	30.02644	29.96966	31.49109	30.30411	30.0531	30.39785	29.45289	29.12201	29.17752
P00489_PYGM	P00489_PYGM	27.91952	29.1606	27.66241	28.11585	28.49675	27.5847	28.24059	28.87789	29.90641	29.32789	29.48581	27.92031	28.95876	30.64461	30.57227	31.26472	30.84086	30.13161	30.04531	31.73505	30.74335	30.28218	30.9451	29.74514	29.51906	29.57192
P02769_ALB	P02769_ALB	27.38772	28.24441	26.89735	27.61933	27.96069	27.3226	27.87074	27.92965	29.18369	28.22578	28.6268	27.31536	28.17112	29.91042	29.81757	30.74751	30.36045	29.85004	29.61742	31.18187	29.85418	29.42742	30.29691	28.945	28.81598	28.41659
P00924_ENO1	P00924_ENO1	26.89458	28.86065	27.27551	26.95947	28.11138	27.14715	27.4817	27.83792	29.15711	28.20041	28.71895	27.59477	28.57669	29.57114	29.20086	30.52505	30.08436	29.04682	29.50773	31.07444	29.84239	29.63528	30.36401	29.01433	28.64986	28.53827
O43707_ACTN4	O43707_ACTN4	22.8157	0	22.20985	22.14448	21.58578	22.41214	21.74571	21.51538	0	20.77917	22.35888	21.6468	22.14485	21.15937	22.42698	22.0671	22.01754	20.84452	0	23.05509	23.04161	22.55943	23.23841	24.09844	22.66568	23.74294
A0A024R6X1_CES2	A0A024R6X1_CES2	23.35904	22.61349	22.14604	23.17141	22.7577	22.92236	22.37111	0	0	22.26267	21.65648	24.40775	21.69757	22.15054	23.32155	22.01601	22.5214	22.18909	23.33674	21.76276	21.14694	0	21.1187	0	21.21939	21.36357
P19961_AMY2B	P19961_AMY2B	30.88845	31.95536	29.58708	29.40833	31.03767	28.1437	31.09409	29.62392	32.22147	31.41785	31.96155	28.26763	29.46766	27.89764	28.00694	27.6421	29.17348	30.6513	30.85942	26.69896	28.88349	27.83623	25.10881	23.39126	29.57431	26.98999
P01036_CST4	P01036_CST4	30.73497	31.20023	31.92352	30.73417	31.57817	27.99879	25.82262	0	27.64808	30.2021	30.7319	27.91798	27.92417	30.36119	29.64901	29.73778	30.04791	29.53211	28.15219	29.64033	29.60334	21.82807	28.8832	24.31866	0	0
P09228_CST2	P09228_CST2	30.93747	30.435	29.00062	29.39887	31.02082	29.89894	24.31154	0	27.73389	28.32946	30.92181	26.38962	26.07218	30.64779	28.18296	30.23831	29.1344	29.281	25.9052	28.58917	28.65209	0	28.43686	22.13028	22.90036	22.45603
