"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"1","A0A087WZH9","A0A087WZH9","0.2675","0.1771","0.2255","-0.7555"
"2","P09960_LTA4H","P09960_LTA4H","0.1793","0.1754","0.2216","-0.6502"
"3","REV__Q8NDM7","REV__Q8NDM7","0.1407","-0.6006","0.2297","0.1601"
"4","P04438","P04438","-0.1537","-0.2223","-0.1022","0.5341"
"5","P07195_LDHB","P07195_LDHB","-0.2219","0.3719","0.3621","-0.5284"
"6","CON__P19013","CON__P19013","0.1532","0.4909","-0.3315","-0.2916"
"7","P04004_VTN","P04004_VTN","0.2912","-0.0321","0.1663","-0.4823"
"8","Q9NQ38_3_SPINK5","Q9NQ38_3_SPINK5","-0.4797","0.3578","0.068","0.0825"
"9","P00491_PNP","P00491_PNP","0.1256","0.1349","0.1173","-0.4319"
"10","P18206_VCL","P18206_VCL","0.2244","0.1544","0","-0.4302"
"11","Q9UBX7_3_KLK11","Q9UBX7_3_KLK11","-0.4284","0.3758","0.2172","-0.1369"
"12","P11413_2_G6PD","P11413_2_G6PD","0.2729","0.0339","0.0482","-0.419"
"13","E5RHG6_TBCA","E5RHG6_TBCA","-0.4161","-0.0016","0.2388","0.2023"
"14","Q14508_WFDC2","Q14508_WFDC2","-0.4095","0.1439","0.1293","0.1484"
"15","P61586_RHOA","P61586_RHOA","0.0563","0.0285","0.2584","-0.4064"
"16","P05089_2_ARG1","P05089_2_ARG1","-0.1082","0.232","0.264","-0.4061"
"17","Q9UG63_2_ABCF2","Q9UG63_2_ABCF2","0.4015","-0.2109","-0.2319","0.0189"
"18","P01042_2_KNG1","P01042_2_KNG1","0.2141","-0.0796","0.2122","-0.3997"
"19","P06331","P06331","-0.3982","0.2029","0.198","0"
"20","P01036_CST4","P01036_CST4","-0.2254","0.3952","-0.3977","0.3055"
"21","CON__P35527_KRT9","CON__P35527_KRT9","0.211","-0.1642","0.2868","-0.3957"
"22","Q8TD19_NEK9","Q8TD19_NEK9","0.2841","-0.0458","-0.3951","0.1694"
"23","P01037_CST1","P01037_CST1","-0.2198","0.395","-0.3823","0.2821"
"24","P05386_RPLP1","P05386_RPLP1","0.1294","0.3932","-0.3237","-0.1759"
"25","P07858_CTSB","P07858_CTSB","-0.39","0.1388","0.1284","0.1326"
