"X","X.1","out$p.value"
"REV__Q8NDM7","REV__Q8NDM7",3.69793230520034e-05
"P09960_LTA4H","P09960_LTA4H",8.74657449669482e-05
"P07195_LDHB","P07195_LDHB",9.17479998201858e-05
"P18206_VCL","P18206_VCL",9.48869534565341e-05
"A0A087WZH9","A0A087WZH9",0.000192763366089344
"Q9UBX7-3_KLK11","Q9UBX7-3_KLK11",0.000271443506849386
"P06576_ATP5B","P06576_ATP5B",0.00156130429630471
"P04004_VTN","P04004_VTN",0.00157448405450521
"CON__P19013","CON__P19013",0.00179642398057818
"CON__P35527_KRT9","CON__P35527_KRT9",0.00208098780013413
"E5RHG6_TBCA","E5RHG6_TBCA",0.00303462506257306
"P14550_AKR1A1","P14550_AKR1A1",0.00345097093965871
"P05089-2_ARG1","P05089-2_ARG1",0.00439734723891974
"Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5",0.00470166722905053
"P06331","P06331",0.00651430401713292
"P01598","P01598",0.00698170045584591
"P40925-3_MDH1","P40925-3_MDH1",0.00797741595134929
"P07858_CTSB","P07858_CTSB",0.0113806313350669
"Q8TD19_NEK9","Q8TD19_NEK9",0.0128070812882735
"A0A0A0MS15","A0A0A0MS15",0.0139606991678812
"A0A087WV23_SH3BGRL3","A0A087WV23_SH3BGRL3",0.0143541839371878
"P11413-2_G6PD","P11413-2_G6PD",0.0156817204936806
"P05386_RPLP1","P05386_RPLP1",0.016340247812007
"P04438","P04438",0.0172626561565732
"B5MDF5_RAN","B5MDF5_RAN",0.0176794400348726
"P16070_CD44","P16070_CD44",0.0184224552307908
"O00764_PDXK","O00764_PDXK",0.0187945262272306
"Q8TDL5_BPIFB1","Q8TDL5_BPIFB1",0.0221517474999263
"P01042-2_KNG1","P01042-2_KNG1",0.0228831095232179
"P00491_PNP","P00491_PNP",0.0232032892382558
"P01767","P01767",0.0236478842962107
"P21333_FLNA","P21333_FLNA",0.0240905023564902
"P12429_ANXA3","P12429_ANXA3",0.0240905939427306
"P01036_CST4","P01036_CST4",0.0270542478269333
"Q96DA0_ZG16B","Q96DA0_ZG16B",0.0270615084511054
"P63313_TMSB10","P63313_TMSB10",0.0279500613742358
"O75594_PGLYRP1","O75594_PGLYRP1",0.0283062936830588
"P01037_CST1","P01037_CST1",0.0309245741097766
"A0A024R6X1_CES2","A0A024R6X1_CES2",0.0313331851617869
"P06737_PYGL","P06737_PYGL",0.0333318963455249
"Q96KP4_CNDP2","Q96KP4_CNDP2",0.034936335601179
"O15511-2_ARPC5","O15511-2_ARPC5",0.0382012216365216
"P22894_MMP8","P22894_MMP8",0.0394782694672863
"V9HW75_NUCB2","V9HW75_NUCB2",0.0402473194506107
"P01622","P01622",0.0407938027651049
"B1AK88_CAPZB","B1AK88_CAPZB",0.0422867576802515
"P61586_RHOA","P61586_RHOA",0.0438729966951552
"Q9UKR3_KLK13","Q9UKR3_KLK13",0.044358742701591
"CON__P13646-1","CON__P13646-1",0.0458339111750227
"Q9Y6R7_FCGBP","Q9Y6R7_FCGBP",0.0479990245693194
"P13688_CEACAM1","P13688_CEACAM1",0.0486085512465608
"P17174_GOT1","P17174_GOT1",0.0494038242066968
"K7ELL7_PRKCSH","K7ELL7_PRKCSH",0.0575769433316315
"REV__P04280","REV__P04280",0.060128155632343
"P07900-2_HSP90AA1","P07900-2_HSP90AA1",0.0611932121978772
"P37802-2_TAGLN2","P37802-2_TAGLN2",0.0674573164103048
"P09429_HMGB1","P09429_HMGB1",0.0677335796509198
"A0A087WSX4","A0A087WSX4",0.0688969602655027
"Q02487_DSC2","Q02487_DSC2",0.0693500426963367
"P07108-6_DBI","P07108-6_DBI",0.070819137203131
"P23381_WARS","P23381_WARS",0.0741764082247368
"P61160_ACTR2","P61160_ACTR2",0.0758816390968804
"P01033_TIMP1","P01033_TIMP1",0.0775236815360834
"P19823_ITIH2","P19823_ITIH2",0.0785431404166006
"P11215-2_ITGAM","P11215-2_ITGAM",0.081004039381046
"E7EQR4_EZR","E7EQR4_EZR",0.0818372084855972
"Q9H0U4_RAB1B","Q9H0U4_RAB1B",0.0819949602566332
"P09382_LGALS1","P09382_LGALS1",0.0837202200728218
"O00391_QSOX1","O00391_QSOX1",0.0842164142255713
"P30101_PDIA3","P30101_PDIA3",0.0846729869544757
"P00441_SOD1","P00441_SOD1",0.0879987757659051
"Q9HD89_RETN","Q9HD89_RETN",0.0882270187301649
"P08238_HSP90AB1","P08238_HSP90AB1",0.0904481569998917
"P00450_CP","P00450_CP",0.0926652261014826
"P02760_AMBP","P02760_AMBP",0.101441621203791
"P04280_PRB1","P04280_PRB1",0.105043308568344
"P10412_HIST1H1E","P10412_HIST1H1E",0.109944591383518
"P09228_CST2","P09228_CST2",0.111645197565512
"CON__P13647_KRT5","CON__P13647_KRT5",0.122295479775663
"P04217_A1BG","P04217_A1BG",0.129106114036787
"Q14508_WFDC2","Q14508_WFDC2",0.140561599745733
"P52907_CAPZA1","P52907_CAPZA1",0.141145230573565
"F5H5D3_TUBA1C","F5H5D3_TUBA1C",0.141578781247032
"Q9UG63-2_ABCF2","Q9UG63-2_ABCF2",0.142273026550245
"P32119_PRDX2","P32119_PRDX2",0.147023887830885
"P08571_CD14","P08571_CD14",0.149321693878301
"B7ZKJ8_ITIH4","B7ZKJ8_ITIH4",0.152479891168884
"P22314_UBA1","P22314_UBA1",0.160368192727895
"P01008_SERPINC1","P01008_SERPINC1",0.167217061442762
"P19971-2_TYMP","P19971-2_TYMP",0.17021876570177
"P04899-4_GNAI2","P04899-4_GNAI2",0.17998419212829
"P04209","P04209",0.180572667525336
"A0A087WT59_TTR","A0A087WT59_TTR",0.19372139862439
"P20061_TCN1","P20061_TCN1",0.195417359822809
"P28325_CST5","P28325_CST5",0.196928734899414
"P80511_S100A12","P80511_S100A12",0.20521019356366
"P02814_SMR3B","P02814_SMR3B",0.207839703269147
"O95336_PGLS","O95336_PGLS",0.212320740741774
"P55786_NPEPPS","P55786_NPEPPS",0.219578469958087
"Q14697-2_GANAB","Q14697-2_GANAB",0.222038239557561
"Q9UIV8_SERPINB13","Q9UIV8_SERPINB13",0.228152877367754
"P68032_ACTC1","P68032_ACTC1",0.233101260990994
"P07996_THBS1","P07996_THBS1",0.245539425584237
"P59665_DEFA1","P59665_DEFA1",0.249552841714777
