"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"1","P09960_LTA4H","P09960_LTA4H","0.2184","0.2512","0.2617","-0.8112"
"2","REV__Q8NDM7","REV__Q8NDM7","0.205","-0.7725","0.2809","0.2056"
"3","A0A087WZH9","A0A087WZH9","0.2729","0.1769","0.2254","-0.7582"
"4","P18206_VCL","P18206_VCL","0.4325","0.3812","-0.1117","-0.7555"
"5","P07195_LDHB","P07195_LDHB","-0.1253","0.4137","0.4064","-0.7416"
"6","P04004_VTN","P04004_VTN","0.3566","-0.0433","0.2076","-0.615"
"7","CON__P19013","CON__P19013","0.3561","0.4746","-0.2855","-0.557"
"8","P00491_PNP","P00491_PNP","0.1523","0.1892","0.1506","-0.5426"
"9","P06737_PYGL","P06737_PYGL","0.2453","0.2285","0.0234","-0.542"
"10","P01042-2_KNG1","P01042-2_KNG1","0.2832","-0.0824","0.25","-0.5397"
"11","P11413-2_G6PD","P11413-2_G6PD","0.3351","0.0614","0.0655","-0.5288"
"12","Q8TDL5_BPIFB1","Q8TDL5_BPIFB1","0.1279","0.1716","0.1774","-0.5278"
"13","O75594_PGLYRP1","O75594_PGLYRP1","0.1796","0.136","0.1542","-0.5253"
"14","P14550_AKR1A1","P14550_AKR1A1","0.3403","0.1301","-0.5241","0.0843"
"15","B5MDF5_RAN","B5MDF5_RAN","0.3149","0.0695","0.0664","-0.5143"
"16","CON__P35527_KRT9","CON__P35527_KRT9","0.2592","-0.2148","0.3655","-0.514"
"17","Q96DA0_ZG16B","Q96DA0_ZG16B","0.2922","0.0816","0.0737","-0.5086"
"18","P05089-2_ARG1","P05089-2_ARG1","-0.1421","0.3079","0.3141","-0.5085"
"19","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","-0.5085","0.3219","0.2317","0.001"
"20","P21333_FLNA","P21333_FLNA","0.507","-0.0388","-0.1954","-0.3247"
"21","E5RHG6_TBCA","E5RHG6_TBCA","-0.5029","-0.0142","0.2796","0.2747"
"22","P06576_ATP5B","P06576_ATP5B","0.3117","-0.2965","0.3685","-0.497"
"23","P04438","P04438","-0.0027","-0.0577","-0.3689","0.4912"
"24","Q96KP4_CNDP2","Q96KP4_CNDP2","0.0395","0.1914","0.2132","-0.4862"
"25","P06331","P06331","-0.4859","0.2684","0.2536","0.0027"
"26","Q8TD19_NEK9","Q8TD19_NEK9","0.2751","0.0011","-0.4789","0.2366"
"27","P61160_ACTR2","P61160_ACTR2","0.2997","0.0422","0.0699","-0.4734"
"28","P01767","P01767","0.054","0.3281","0.0677","-0.4701"
"29","P07858_CTSB","P07858_CTSB","-0.4695","0.1588","0.1763","0.1832"
"30","Q9UBX7-3_KLK11","Q9UBX7-3_KLK11","-0.4611","0.3876","0.416","-0.3349"
"31","A0A087WV23_SH3BGRL3","A0A087WV23_SH3BGRL3","-0.461","0.2018","0.1346","0.179"
"32","P01036_CST4","P01036_CST4","-0.4518","0.3559","-0.0913","0.2777"
"33","A0A0A0MS15","A0A0A0MS15","-0.4507","0.1313","0.1951","0.1669"
"34","P13688_CEACAM1","P13688_CEACAM1","0.2459","-0.0538","0.182","-0.4455"
"35","P19823_ITIH2","P19823_ITIH2","0.0966","-0.0086","0.292","-0.4448"
