"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"1","P01036_CST4","P01036_CST4","0.1105","0.4013","-0.7621","0.2691"
"2","P01037_CST1","P01037_CST1","0.1169","0.3923","-0.7328","0.2448"
"3","A0A087WZH9","A0A087WZH9","0.3044","0.2351","0.2626","-0.6725"
"4","REV__Q8NDM7","REV__Q8NDM7","0.1317","-0.595","0.2218","0.1369"
"5","P09960_LTA4H","P09960_LTA4H","0.2236","0.2008","0.2603","-0.574"
"6","P04438","P04438","-0.2014","-0.5578","0.0838","0.5213"
"7","CON__P19013","CON__P19013","0.1015","0.5361","-0.2625","-0.2612"
"8","P04280_PRB1","P04280_PRB1","-0.5325","-0.036","0.2178","0.3023"
"9","Q9UBC9_SPRR3","Q9UBC9_SPRR3","0.1458","0.0915","-0.5214","0.26"
"10","P07858_CTSB","P07858_CTSB","-0.4964","0.1878","0.1579","0.1554"
"11","P05386_RPLP1","P05386_RPLP1","0.112","0.4905","-0.42","-0.0984"
"12","P08571_CD14","P08571_CD14","-0.0951","0.4883","-0.0964","-0.1987"
"13","Q14508_WFDC2","Q14508_WFDC2","-0.4861","0.1743","0.1347","0.1767"
"14","P02760_AMBP","P02760_AMBP","0.1343","-0.485","0.3452","-0.0557"
"15","P28325_CST5","P28325_CST5","-0.2223","0.367","-0.48","0.3392"
"16","P09228_CST2","P09228_CST2","-0.1344","0.3659","-0.4784","0.2618"
"17","A0A0A0MS15","A0A0A0MS15","-0.4717","0.1581","0.1812","0.1356"
"18","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","0.1164","-0.4676","0.2124","0.063"
"19","P09382_LGALS1","P09382_LGALS1","0.4602","-0.299","0.0568","-0.228"
"20","P12429_ANXA3","P12429_ANXA3","0.3898","0.3282","-0.46","-0.1847"
"21","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","-0.4437","0.374","0.0168","0.093"
"22","Q9UKR3_KLK13","Q9UKR3_KLK13","-0.4399","0.2886","0.0836","0.0953"
"23","P07195_LDHB","P07195_LDHB","-0.3068","0.436","0.4306","-0.4353"
"24","P05089-2_ARG1","P05089-2_ARG1","-0.0048","0.2347","0.2849","-0.4212"
"25","P04004_VTN","P04004_VTN","0.3171","-0.0417","0.1942","-0.4161"
"26","P04217_A1BG","P04217_A1BG","0.0921","-0.3973","0.1558","0.081"
"27","P00450_CP","P00450_CP","0.1629","-0.3972","0.1147","0.055"
"28","REV__P04280","REV__P04280","-0.2896","0.3956","0.2029","-0.2208"
"29","V9HW75_NUCB2","V9HW75_NUCB2","-0.292","0.3915","-0.056","0.0109"
"30","P16070_CD44","P16070_CD44","0.3868","0.127","-0.2717","-0.196"
"31","Q9UG63-2_ABCF2","Q9UG63-2_ABCF2","0.3844","-0.2137","-0.2446","0.038"
"32","P00491_PNP","P00491_PNP","0.1492","0.1553","0.1564","-0.3838"
"33","Q14697-2_GANAB","Q14697-2_GANAB","0.1753","0.1668","0.1174","-0.3813"
"34","P00330_ADH1","P00330_ADH1","0.2234","-0.3781","-0.0895","0.1664"
"35","P17174_GOT1","P17174_GOT1","-0.3717","0.3745","0.0866","-0.0314"
"36","Q07654_TFF3","Q07654_TFF3","0.1643","0.2536","-0.3745","-0.0063"
"37","A0A024R6X1_CES2","A0A024R6X1_CES2","-0.1502","0.3728","-0.3459","0.1545"
"38","P19961_AMY2B","P19961_AMY2B","-0.3612","0.1386","0.2252","0.015"
"39","P04209","P04209","-0.3314","0.0288","0.361","-0.0475"
"40","CON__P35527_KRT9","CON__P35527_KRT9","0.2681","-0.2827","0.3608","-0.3383"
"41","P32119_PRDX2","P32119_PRDX2","0.1558","0.0872","-0.3561","0.1098"
"42","Q8TAX7_MUC7","Q8TAX7_MUC7","0.1156","0.1665","-0.3551","0.0847"
