"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"1","P01036_CST4","P01036_CST4","0.0372","0.3202","-0.6887","0.2022"
"2","P01037_CST1","P01037_CST1","0.0435","0.3112","-0.6595","0.1778"
"3","A0A087WZH9","A0A087WZH9","0.2311","0.154","0.1893","-0.6056"
"4","REV__Q8NDM7","REV__Q8NDM7","0.0583","-0.5139","0.1485","0.07"
"5","P09960_LTA4H","P09960_LTA4H","0.1502","0.1198","0.1869","-0.5071"
"6","P04438","P04438","-0.1281","-0.4767","0.0104","0.4543"
"7","P04280_PRB1","P04280_PRB1","-0.4592","0","0.1444","0.2354"
"8","CON__P19013","CON__P19013","0.0282","0.455","-0.1891","-0.1942"
"9","Q9UBC9_SPRR3","Q9UBC9_SPRR3","0.0725","0.0104","-0.448","0.193"
"10","P07858_CTSB","P07858_CTSB","-0.4231","0.1067","0.0846","0.0884"
"11","Q14508_WFDC2","Q14508_WFDC2","-0.4127","0.0932","0.0613","0.1097"
"12","P05386_RPLP1","P05386_RPLP1","0.0387","0.4094","-0.3467","-0.0314"
"13","P08571_CD14","P08571_CD14","-0.0217","0.4072","-0.023","-0.1318"
"14","P28325_CST5","P28325_CST5","-0.1489","0.2859","-0.4066","0.2723"
"15","P09228_CST2","P09228_CST2","-0.0611","0.2848","-0.4051","0.1949"
"16","P02760_AMBP","P02760_AMBP","0.0609","-0.4039","0.2718","0"
"17","A0A0A0MS15","A0A0A0MS15","-0.3984","0.077","0.1079","0.0687"
"18","P09382_LGALS1","P09382_LGALS1","0.3868","-0.2179","0","-0.1611"
"19","P12429_ANXA3","P12429_ANXA3","0.3164","0.2471","-0.3867","-0.1177"
"20","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","0.043","-0.3865","0.139","0"
"21","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","-0.3703","0.2929","0","0.0261"
"22","P07195_LDHB","P07195_LDHB","-0.2335","0.3549","0.3573","-0.3684"
"23","Q9UKR3_KLK13","Q9UKR3_KLK13","-0.3666","0.2075","0.0103","0.0284"
"24","P05089-2_ARG1","P05089-2_ARG1","0","0.1537","0.2116","-0.3542"
"25","P04004_VTN","P04004_VTN","0.2437","0","0.1208","-0.3491"
"26","P00491_PNP","P00491_PNP","0.0758","0.0742","0.083","-0.3169"
"27","P04217_A1BG","P04217_A1BG","0.0188","-0.3162","0.0824","0.0141"
"28","P00450_CP","P00450_CP","0.0895","-0.3161","0.0413","0"
"29","REV__P04280","REV__P04280","-0.2163","0.3145","0.1296","-0.1539"
"30","Q14697-2_GANAB","Q14697-2_GANAB","0.102","0.0857","0.0441","-0.3143"
"31","P16070_CD44","P16070_CD44","0.3135","0.0459","-0.1984","-0.129"
"32","Q9UG63-2_ABCF2","Q9UG63-2_ABCF2","0.3111","-0.1326","-0.1713","0"
"33","V9HW75_NUCB2","V9HW75_NUCB2","-0.2186","0.3104","0","0"
"34","Q07654_TFF3","Q07654_TFF3","0.0909","0.1725","-0.3011","0"
"35","P17174_GOT1","P17174_GOT1","-0.2983","0.2934","0.0133","0"
"36","P00330_ADH1","P00330_ADH1","0.15","-0.297","-0.0161","0.0994"
"37","A0A024R6X1_CES2","A0A024R6X1_CES2","-0.0768","0.2917","-0.2726","0.0876"
"38","P19961_AMY2B","P19961_AMY2B","-0.2879","0.0576","0.1519","0"
"39","P04209","P04209","-0.2581","0","0.2877","0"
