"","gene name","index","rank","v1","v2","v3","v4","v5","v6","names","X12.5fmol_C2","X12.5fmol_C3","X12.5fmol_C4","X12.5fmol_C5","X12.5fmol_Ro","X12.5fmol_C8","X25fmol_semtumorS36","X25fmol_semtumorS40","X25fmol_semtumorS49","X25fmol_semtumorS55","X25fmol_semtumorS57","X25fmol_semtumorS61","X25fmol_semtumorS64","X50fmol_T1T2S57","X50fmol_T1T2S77","X50fmol_T1T2S78","X50fmol_T1T2S79","X50fmol_T1T2T12","X50fmol_T1T2T20","X50fmol_T1T2T22","X50fmol_T1T2T23","X100fmol_T3T4S44","X100fmol_T3T4S45","X100fmol_T3T4S81","X100fmol_T3T4S82","X100fmol_T3T4T13","X100fmol_T3T4T2","X100fmol_T3T4T5"
"P00330_ADH1","P00330_ADH1","84","1","2.14629830587971","1.48575787323766","1.17418400359708","3.5235681383322","3.53234895722397","0.885144933363571","P00330_ADH1","27.43086","26.84206","26.93697","28.13707","26.29019","27.35498","29.06106","28.50964","28.16954","28.32513","29.54331","28.91308","28.886","29.31223","29.76199","30.45435","30.32807","31.02565","30.69876","30.02644","29.96966","31.36771","30.53482","31.49109","30.30411","30.0531","30.39785","29.45289"
"P35579_MYH9","P35579_MYH9","226","2","0.0342838426331767","0.0510868562608533","0.651891544212224","0.0829799492539817","0.750968801808516","3.13386482469222","P35579_MYH9","24.77962","24.3678","23.95447","22.07718","26.18262","22.17968","21.96296","26.00727","21.41952","20.7285","21.93808","20.7075","23.04988","24.70425","23.50724","21.8271","23.84871","0","21.88811","24.14795","23.57542","23.34313","24.40633","24.67611","23.82736","26.20674","22.90307","27.38764"
"P00924_ENO1","P00924_ENO1","92","3","0.00515128034235111","0.0267660306454172","0.0593991674272343","0.346468253257095","0.786136123160612","2.0730523757618","P00924_ENO1","28.13006","26.9486","26.89458","28.86065","27.27551","26.95947","28.0592","28.48335","27.4817","27.83792","29.15711","28.20041","28.71895","28.42089","28.64509","29.57114","29.20086","30.52505","30.08436","29.04682","29.50773","30.95227","30.01452","31.07444","29.84239","29.63528","30.36401","29.01433"
"P01024_C3","P01024_C3","96","4","0.625352145564499","0.175069138937793","0.161225354498909","0.0140495075674084","0.000205669462412208","0.232262940741857","P01024_C3","24.48376","24.53035","25.49085","23.54156","26.68445","26.1042","28.06805","26.41664","26.88157","26.97202","27.3256","26.96301","25.89046","27.03894","27.89001","25.21982","24.99058","27.3138","26.18775","26.84182","25.52256","27.84655","26.31764","25.73092","27.45709","26.9157","26.78357","26.37408"
"P04792_HSPB1","P04792_HSPB1","143","5","0.226184165955654","0.000661537313112828","0.0452040606977104","0.769404496432177","0.208197898615197","0.116836731137233","P04792_HSPB1","26.70253","27.63927","23.15061","23.57277","26.73312","26.20045","23.53919","20.80128","22.91406","22.73233","22.84157","24.05523","22.54797","28.40868","25.47803","23.39008","24.24938","23.94476","24.07104","24.99843","22.38013","25.42146","23.75918","24.42918","25.60399","26.045","22.70047","27.79526"
"P07195_LDHB","P07195_LDHB","156","6","0.00492215450878543","0.0628141265025487","0.00498736003007798","0.506561574985738","0.0234380286372562","0.000180420278021183","P07195_LDHB","22.75823","23.29179","21.89308","23.26299","23.67422","23.51364","22.61385","22.65866","23.25897","23.4675","22.03725","23.0861","23.82182","20.55693","21.06638","0","0","0","23.71879","23.12209","0","0","23.51292","0","0","24.15298","20.9979","21.13909"
"P04280_PRB1","P04280_PRB1","140","7","0.0221854150880863","0.00714410669816119","0.00122619396683435","0.00963568457972661","0.178178789059699","0.579055473857696","P04280_PRB1","30.13553","23.67325","27.47537","32.98351","25.24035","0","20.10661","27.4945","28.12687","25.90951","31.09961","25.3667","30.74343","28.01755","29.38391","30.62854","28.95665","32.5676","23.78167","22.27952","30.14431","31.42252","0","27.39026","30.72818","0","0","22.16877"
"P00489_PYGM","P00489_PYGM","88","8","0.0332535705940989","0.0811574996464194","0.126849396053842","0.167104833941353","0.0633680994434739","0.193495781293028","P00489_PYGM","28.01212","27.24554","27.91952","29.1606","27.66241","28.11585","28.98547","28.81821","28.24059","28.87789","29.90641","29.32789","29.48581","29.29253","29.77154","30.64461","30.57227","31.26472","30.84086","30.13161","30.04531","31.53464","30.7925","31.73505","30.74335","30.28218","30.9451","29.74514"
"P19961_AMY2B","P19961_AMY2B","196","9","0.00999646102815199","9.17739692025779e-05","0.0656260754419371","0.161713840921605","0.0408012385396141","0.227330755670715","P19961_AMY2B","26.97454","31.4352","30.88845","31.95536","29.58708","29.40833","28.15374","29.80676","31.09409","29.62392","32.22147","31.41785","31.96155","29.9211","29.67042","27.89764","28.00694","27.6421","29.17348","30.6513","30.85942","27.29167","28.04568","26.69896","28.88349","27.83623","25.10881","23.39126"
"P07339_CTSD","P07339_CTSD","158","10","0.137032936436702","0.0152259034199856","0.0378827685203829","0.0546390533422925","0.0080879708429632","0.0634529634244821","P07339_CTSD","23.13187","22.78614","23.45551","22.70075","23.96455","22.50031","20.00498","20.72459","22.68716","22.3218","22.25773","22.50031","21.43527","22.17877","22.23801","21.83846","23.02433","21.54345","21.80215","22.46978","21.69485","21.09726","20.99037","22.16922","22.19132","21.16411","21.57579","20.65997"
