"X","X.1","out$p.value"
"Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5",0.000205708485008588
"Q9UIV8_SERPINB13","Q9UIV8_SERPINB13",0.000245637282189442
"P35321_SPRR1A","P35321_SPRR1A",0.000575857689626094
"E5RHG6_TBCA","E5RHG6_TBCA",0.000673424667623008
"Q9UBX7-3_KLK11","Q9UBX7-3_KLK11",0.000881760696640871
"CON__P35527_KRT9","CON__P35527_KRT9",0.00156098104213784
"P12429_ANXA3","P12429_ANXA3",0.00371461502298481
"REV__Q8NDM7","REV__Q8NDM7",0.00574344165959633
"P09960_LTA4H","P09960_LTA4H",0.00607674310740156
"P04209","P04209",0.0063917925688355
"P11413-2_G6PD","P11413-2_G6PD",0.007685402559443
"P63313_TMSB10","P63313_TMSB10",0.00811242410448793
"Q9UBC9_SPRR3","Q9UBC9_SPRR3",0.00821507829084609
"P06331","P06331",0.00902878001823115
"P40925-3_MDH1","P40925-3_MDH1",0.00963692854073957
"P00491_PNP","P00491_PNP",0.010760537159657
"Q8TD19_NEK9","Q8TD19_NEK9",0.0136439648912697
"Q14508_WFDC2","Q14508_WFDC2",0.013784871200097
"A0A087WZH9","A0A087WZH9",0.018614366838851
"P04438","P04438",0.0202285632788836
"P07195_LDHB","P07195_LDHB",0.023091744683257
"P07858_CTSB","P07858_CTSB",0.0277717671955655
"A0A0A0MS15","A0A0A0MS15",0.0288691953182016
"P01036_CST4","P01036_CST4",0.0319032103868004
"P01037_CST1","P01037_CST1",0.0335301471183946
"P01598","P01598",0.035406681755655
"P16070_CD44","P16070_CD44",0.036426157676956
"A0A087WVW2_IGHG3","A0A087WVW2_IGHG3",0.0386301611563819
"P05089-2_ARG1","P05089-2_ARG1",0.0420456962375761
"P28325_CST5","P28325_CST5",0.0423901953662912
"P36952_SERPINB5","P36952_SERPINB5",0.0424304438401321
"Q96KP4_CNDP2","Q96KP4_CNDP2",0.043038192145254
"Q96DA0_ZG16B","Q96DA0_ZG16B",0.0438316709906971
"P14550_AKR1A1","P14550_AKR1A1",0.0454243835457908
"P01622","P01622",0.0457544841981056
"B1AK88_CAPZB","B1AK88_CAPZB",0.0491991015426178
"P68371_TUBB4B","P68371_TUBB4B",0.0521351989185658
"P61586_RHOA","P61586_RHOA",0.0525879805203643
"O75594_PGLYRP1","O75594_PGLYRP1",0.0532208188633033
"P17174_GOT1","P17174_GOT1",0.0536441890753763
"P16402_HIST1H1D","P16402_HIST1H1D",0.0538327969539171
"O00391_QSOX1","O00391_QSOX1",0.0548273146390076
"Q9UKR3_KLK13","Q9UKR3_KLK13",0.0566247523141086
"P13688_CEACAM1","P13688_CEACAM1",0.0596576077660514
"P08571_CD14","P08571_CD14",0.0607751139292772
"Q9UG63-2_ABCF2","Q9UG63-2_ABCF2",0.066045393051905
"P22532_SPRR2D","P22532_SPRR2D",0.0666506783030491
"CON__P19013","CON__P19013",0.0764094783938089
"CON__Q3MHH8","CON__Q3MHH8",0.0776179430223661
"P30838_ALDH3A1","P30838_ALDH3A1",0.0806499038494775
"P09228_CST2","P09228_CST2",0.0914799091552729
"Q07654_TFF3","Q07654_TFF3",0.0923002001078701
"P05386_RPLP1","P05386_RPLP1",0.0944245495836217
"P11215-2_ITGAM","P11215-2_ITGAM",0.098426010408496
"Q14CN2_CLCA4","Q14CN2_CLCA4",0.118168168031672
"P06576_ATP5B","P06576_ATP5B",0.123822829814144
"P04280_PRB1","P04280_PRB1",0.125234902493023
"P43652_AFM","P43652_AFM",0.130484251933692
"P30040_ERP29","P30040_ERP29",0.134234973532059
"Q13404_UBE2V1","Q13404_UBE2V1",0.138679972849477
"P01008_SERPINC1","P01008_SERPINC1",0.139808851861166
"P08238_HSP90AB1","P08238_HSP90AB1",0.141228235486652
"P52907_CAPZA1","P52907_CAPZA1",0.146108960847989
"P02753_RBP4","P02753_RBP4",0.14754506410715
"P01767","P01767",0.149455318070854
"P02814_SMR3B","P02814_SMR3B",0.162418040833448
"A0A087WSX4","A0A087WSX4",0.165666087177119
"P32119_PRDX2","P32119_PRDX2",0.16840631791689
"Q14697-2_GANAB","Q14697-2_GANAB",0.170835367135414
"P01009_SERPINA1","P01009_SERPINA1",0.178372343082641
"P01616","P01616",0.182985388506246
"REV__P04280","REV__P04280",0.187803625774933
"B5MDF5_RAN","B5MDF5_RAN",0.197377639266339
"P22314_UBA1","P22314_UBA1",0.203850993048145
"P07900-2_HSP90AA1","P07900-2_HSP90AA1",0.216062001703446
"P07996_THBS1","P07996_THBS1",0.220783915100774
"V9HW75_NUCB2","V9HW75_NUCB2",0.229506777674771
"E7EQR4_EZR","E7EQR4_EZR",0.239752605893066
"P20061_TCN1","P20061_TCN1",0.24098574821062
"Q9BRA2_TXNDC17","Q9BRA2_TXNDC17",0.244765498719457
"P18669_PGAM1","P18669_PGAM1",0.252789594501054
"Q32Q12_NME1-NME2","Q32Q12_NME1-NME2",0.253215708222737
"P09429_HMGB1","P09429_HMGB1",0.261315486310425
"B7Z6Z4_MYL6","B7Z6Z4_MYL6",0.265999405127214
"O95336_PGLS","O95336_PGLS",0.274542786153285
"P12814-3_ACTN1","P12814-3_ACTN1",0.277026106498853
"Q9HD89_RETN","Q9HD89_RETN",0.280312978837172
"P00441_SOD1","P00441_SOD1",0.30158960266639
"P19823_ITIH2","P19823_ITIH2",0.302802854979114
"Q9UBG3_CRNN","Q9UBG3_CRNN",0.317160167743026
"P61160_ACTR2","P61160_ACTR2",0.31935298505859
"P80511_S100A12","P80511_S100A12",0.320222099623708
"P08603_CFH","P08603_CFH",0.32040591041997
"CON__P08779_KRT16","CON__P08779_KRT16",0.32208220656564
"Q99879_HIST1H2BM","Q99879_HIST1H2BM",0.330397113963414
"P30101_PDIA3","P30101_PDIA3",0.337774910467402
"P00352_ALDH1A1","P00352_ALDH1A1",0.337869173638769
"O43707_ACTN4","O43707_ACTN4",0.340863277670712
"P04899-4_GNAI2","P04899-4_GNAI2",0.342003316238873
"P31146_CORO1A","P31146_CORO1A",0.356946694658178
"Q02487_DSC2","Q02487_DSC2",0.359267063190072
"P20160_AZU1","P20160_AZU1",0.360743040712743
"P04004_VTN","P04004_VTN",0.361306406658753
"Q8TAX7_MUC7","Q8TAX7_MUC7",0.361577037191163
"Q9Y6R7_FCGBP","Q9Y6R7_FCGBP",0.36270724943175
"K7ELL7_PRKCSH","K7ELL7_PRKCSH",0.364752374388392
"P62805_HIST1H4A","P62805_HIST1H4A",0.368899035495463
"A0A087WZM2_RNASET2","A0A087WZM2_RNASET2",0.370844662743798
"P55786_NPEPPS","P55786_NPEPPS",0.373455582535394
"P16401_HIST1H1B","P16401_HIST1H1B",0.378730757284912
"P68431_HIST1H3A","P68431_HIST1H3A",0.379233653891952
"C9JV77_AHSG","C9JV77_AHSG",0.405164410811672
"P59665_DEFA1","P59665_DEFA1",0.406620602588614
"CON__P13647_KRT5","CON__P13647_KRT5",0.411897508708847
"P01593","P01593",0.415239268778373
"P80748","P80748",0.418991159000739
"P62258_YWHAE","P62258_YWHAE",0.421353481577374
"Q6P5S2_C6orf58","Q6P5S2_C6orf58",0.422242948128927
"P37802-2_TAGLN2","P37802-2_TAGLN2",0.423757407666539
"P00330_ADH1","P00330_ADH1",0.42765811686249
"P01877_IGHA2","P01877_IGHA2",0.432199892551471
"CON__P01966","CON__P01966",0.435084292404285
"Q14974_KPNB1","Q14974_KPNB1",0.444496156901529
"A0A087X130","A0A087X130",0.444915814578735
