"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"1","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","-0.6817","0.3968","0.0599","0.3287"
"2","Q9UIV8_SERPINB13","Q9UIV8_SERPINB13","-0.6752","0.3188","0.0882","0.3661"
"3","E5RHG6_TBCA","E5RHG6_TBCA","-0.6398","0.2174","0.2594","0.2264"
"4","P35321_SPRR1A","P35321_SPRR1A","0.1662","0.2376","-0.6155","0.2867"
"5","Q9UBX7-3_KLK11","Q9UBX7-3_KLK11","-0.6148","0.4532","0.2539","-0.0322"
"6","CON__P35527_KRT9","CON__P35527_KRT9","0.2407","0.0124","0.2698","-0.608"
"7","P09960_LTA4H","P09960_LTA4H","0.1554","0.1754","0.2088","-0.6003"
"8","P11413-2_G6PD","P11413-2_G6PD","0.2128","0.153","0.1487","-0.5747"
"9","P04438","P04438","-0.2967","-0.1786","-0.0304","0.5602"
"10","P00491_PNP","P00491_PNP","0.1724","0.1624","0.1565","-0.5461"
"11","P12429_ANXA3","P12429_ANXA3","0.3813","0.2541","-0.5344","-0.0755"
"12","REV__Q8NDM7","REV__Q8NDM7","0.1429","-0.531","0.2014","0.1293"
"13","Q14508_WFDC2","Q14508_WFDC2","-0.5184","0.1916","0.1879","0.194"
"14","A0A087WZH9","A0A087WZH9","0.2021","0.1188","0.132","-0.5087"
"15","P63313_TMSB10","P63313_TMSB10","-0.5057","0.2766","0.0709","0.2307"
"16","Q9UBC9_SPRR3","Q9UBC9_SPRR3","0.2399","0.2205","-0.4927","0.0744"
"17","CON__P19013","CON__P19013","0.017","0.4838","-0.3634","-0.0796"
"18","Q8TD19_NEK9","Q8TD19_NEK9","0.3219","-0.0278","-0.481","0.2134"
"19","P16402_HIST1H1D","P16402_HIST1H1D","-0.0833","0.4809","-0.1144","-0.2502"
"20","P06331","P06331","-0.4759","0.257","0.2565","-0.001"
"21","P40925-3_MDH1","P40925-3_MDH1","-0.4678","0.2685","0.0381","0.2329"
"22","Q9UG63-2_ABCF2","Q9UG63-2_ABCF2","0.4654","-0.3192","-0.1504","-0.0482"
"23","P07858_CTSB","P07858_CTSB","-0.4538","0.1638","0.1802","0.1554"
"24","A0A0A0MS15","A0A0A0MS15","-0.4516","0.1457","0.1901","0.1593"
"25","P13688_CEACAM1","P13688_CEACAM1","0.017","0.2085","0.174","-0.4314"
"26","P06576_ATP5B","P06576_ATP5B","0.1717","0.0768","0.1295","-0.4282"
"27","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","0.1107","-0.4273","0.1905","0.0759"
"28","O75594_PGLYRP1","O75594_PGLYRP1","-0.0098","0.177","0.2236","-0.4265"
