"","gene name","index","rank","v1","v2","v3","v4","v5","v6","names","X12.5fmol_C2","X12.5fmol_C3","X12.5fmol_C4","X12.5fmol_C8","X12.5fmol_C9","X12.5fmol_C10","X25fmol_semtumorS36","X25fmol_semtumorS40","X25fmol_semtumorS49","X25fmol_semtumorS61","X25fmol_semtumorS64","X25fmol_semtumorS68","X25fmol_semtumorT16","X50fmol_T1T2S57","X50fmol_T1T2S77","X50fmol_T1T2S78","X50fmol_T1T2T20","X50fmol_T1T2T22","X50fmol_T1T2T23","X100fmol_T3T4S44","X100fmol_T3T4S45","X100fmol_T3T4S81","X100fmol_T3T4T2","X100fmol_T3T4T5","X100fmol_T3T4T65","X100fmol_T3T4T9"
"P00330_ADH1","P00330_ADH1","84","1","2.78479136485623","1.36242277190839","2.42676729592571","4.29335065809009","2.60889407843485","3.35341571821518e-16","P00330_ADH1","27.43086","26.84206","26.93697","27.35498","27.73383","27.08274","29.06106","28.50964","28.16954","28.91308","28.886","27.63201","28.71326","29.31223","29.76199","30.45435","30.69876","30.02644","29.96966","31.36771","30.53482","31.49109","30.39785","29.45289","29.12201","29.17752"
"P52209_PGD","P52209_PGD","234","2","0.148958268711207","0.0840853200310996","0.0245582310067296","0.449250377774915","0.0142019865343602","2.72882920459723","P52209_PGD","24.05391","24.97036","25.32124","24.89569","24.92597","25.56075","25.21985","26.41759","26.14313","23.77676","24.67616","25.81529","24.6147","24.35669","23.70345","23.31962","23.83036","24.40886","22.46431","24.11267","26.18191","25.2798","25.10029","24.62132","24.46775","24.70129"
"P00489_PYGM","P00489_PYGM","88","3","0.562427569755839","0.394729825580382","0.740990045526034","0.372636248501376","0.707855460272199","0.0781058204624576","P00489_PYGM","28.01212","27.24554","27.91952","28.11585","28.49675","27.5847","28.98547","28.81821","28.24059","29.32789","29.48581","27.92031","28.95876","29.29253","29.77154","30.64461","30.84086","30.13161","30.04531","31.53464","30.7925","31.73505","30.9451","29.74514","29.51906","29.57192"
"E5RHG6_TBCA","E5RHG6_TBCA","56","4","0.0286280769547465","0.0005189226021696","0.13488943153471","0.0164455970842963","0.397321848743205","0.73578593656252","E5RHG6_TBCA","20.97162","20.92455","21.93416","22.22066","21.28523","21.51869","22.40187","21.81339","23.00636","20.91452","21.33282","22.4819","21.61279","21.09036","20.22682","21.11737","22.95349","21.66952","22.38664","20.65543","21.73723","21.34169","20.64421","0","0","0"
"P35579_MYH9","P35579_MYH9","226","5","0.0530373537505149","0.0964990283246337","0.0326984375230591","0.73362022695313","0.0103019865946355","0.0650552390722663","P35579_MYH9","24.77962","24.3678","23.95447","22.17968","22.28678","23.92316","21.96296","26.00727","21.41952","20.7075","23.04988","21.87433","23.05864","24.70425","23.50724","21.8271","21.88811","24.14795","23.57542","23.34313","24.40633","24.67611","22.90307","27.38764","24.59224","24.96794"
"P14550_AKR1A1","P14550_AKR1A1","185","6","0.29199486591664","0.0899457952612014","7.0095552224673e-05","0.196979112124841","0.0302963605173977","0.00911689839256863","P14550_AKR1A1","0","22.15066","22.09294","22.06536","21.85422","21.58967","22.16834","22.05705","22.5038","0","0","21.33582","0","21.8336","21.2175","21.61773","20.76749","21.8514","0","20.74829","22.18498","22.51241","20.95816","20.00895","21.68936","21.32493"
"P02671_FGA","P02671_FGA","121","7","0.0800167026393067","0.089662708472605","0.0633404063422456","0.00627106952882225","0.0171228607383342","0.359447269957701","P02671_FGA","23.14275","22.42309","22.70107","24.68282","23.09867","23.87577","27.23187","25.57848","24.34929","26.09636","22.95481","24.57051","24.89514","26.56734","26.87291","23.8768","24.49881","26.13516","24.64658","24.97863","24.95642","23.03567","24.26699","26.82517","25.93594","25.79454"
"P06396_GSN","P06396_GSN","149","8","0.011484957452621","0.0310135319361553","0.0238614337531615","0.0805054534743211","0.038211407644827","0.0979147311834687","P06396_GSN","25.44497","26.04554","26.89412","26.81103","26.14499","26.75557","25.84953","27.02126","27.0592","25.31486","27.10049","25.73745","26.8441","25.38818","25.88458","25.38867","25.94699","26.09869","25.61074","25.65018","27.53349","26.47547","27.62129","26.04064","27.43365","26.06233"
"P09429_HMGB1","P09429_HMGB1","31","9","0.0605916476402715","0.000253792314244807","7.91742968125406e-05","0.0376294183396457","0.0299290409961534","0.343758079325367","P09429_HMGB1","23.52755","23.17547","0","23.14849","22.44511","23.49106","22.26688","24.01954","23.72005","0","0","22.58008","22.57055","22.92957","22.7463","22.52609","23.79729","23.11652","22.73756","0","23.25451","23.1704","23.49375","23.22707","22.52071","22.75748"
"P00924_ENO1","P00924_ENO1","92","10","0.0716662435776063","0.0314107945020468","0.042727621303281","0.0608946939770167","0.133230616448699","0.0932427057647713","P00924_ENO1","28.13006","26.9486","26.89458","26.95947","28.11138","27.14715","28.0592","28.48335","27.4817","28.20041","28.71895","27.59477","28.57669","28.42089","28.64509","29.57114","30.08436","29.04682","29.50773","30.95227","30.01452","31.07444","30.36401","29.01433","28.64986","28.53827"
