"","gene name","index","rank","v1","v2","v3","v4","v5","v6","names","X12.5fmol_C2","X12.5fmol_C3","X12.5fmol_C4","X12.5fmol_C5","X12.5fmol_Ro","X12.5fmol_C8","X12.5fmol_C9","X12.5fmol_C10","X25fmol_semtumorS36","X25fmol_semtumorS40","X25fmol_semtumorS49","X25fmol_semtumorS55","X25fmol_semtumorS57","X25fmol_semtumorS61","X25fmol_semtumorS64","X25fmol_semtumorS68","X25fmol_semtumorT16","X50fmol_T1T2S57","X50fmol_T1T2S77","X50fmol_T1T2S78","X50fmol_T1T2S79","X50fmol_T1T2T12","X50fmol_T1T2T20","X50fmol_T1T2T22","X50fmol_T1T2T23","X100fmol_T3T4S44","X100fmol_T3T4S45","X100fmol_T3T4S81","X100fmol_T3T4S82","X100fmol_T3T4T13","X100fmol_T3T4T2","X100fmol_T3T4T5","X100fmol_T3T4T65","X100fmol_T3T4T9"
"P00330_ADH1","P00330_ADH1","1","1","2.89772818991023","1.87286081762683","3.06247655795142","3.69278271367032","3.04404766732241","4.74727479627874e-15","P00330_ADH1","27.43086","26.84206","26.93697","28.13707","26.29019","27.35498","27.73383","27.08274","29.06106","28.50964","28.16954","28.32513","29.54331","28.91308","28.886","27.63201","28.71326","29.31223","29.76199","30.45435","30.32807","31.02565","30.69876","30.02644","29.96966","31.36771","30.53482","31.49109","30.30411","30.0531","30.39785","29.45289","29.12201","29.17752"
"CON__P00761","CON__P00761","39","2","1.07410837462217","0.218020815810578","0.258973797904384","1.29983842692707","0.295462728644655","1.40999677884095","CON__P00761","31.04661","30.05905","30.53742","31.96575","30.99301","31.30187","31.34752","30.37026","30.02314","30.4342","30.52878","30.59201","29.9194","31.12872","30.60594","28.33981","30.44243","30.05194","31.46349","32.15488","32.18881","32.51883","31.86437","31.3714","31.36781","32.53013","31.80363","32.03325","31.34562","28.94137","31.8178","28.7855","29.51124","29.34047"
"P00489_PYGM","P00489_PYGM","2","3","0.50526296167317","0.252171669296645","0.291408321507789","0.102376680185255","1.25719341751817","2.72260270591309","P00489_PYGM","28.01212","27.24554","27.91952","29.1606","27.66241","28.11585","28.49675","27.5847","28.98547","28.81821","28.24059","28.87789","29.90641","29.32789","29.48581","27.92031","28.95876","29.29253","29.77154","30.64461","30.57227","31.26472","30.84086","30.13161","30.04531","31.53464","30.7925","31.73505","30.74335","30.28218","30.9451","29.74514","29.51906","29.57192"
"P19961_AMY2B","P19961_AMY2B","12","4","0.000895201245824503","0.0732818921475874","0.0131400510498175","0.135781572533707","0.738550814992442","0.685159326028011","P19961_AMY2B","26.97454","31.4352","30.88845","31.95536","29.58708","29.40833","31.03767","28.1437","28.15374","29.80676","31.09409","29.62392","32.22147","31.41785","31.96155","28.26763","29.46766","29.9211","29.67042","27.89764","28.00694","27.6421","29.17348","30.6513","30.85942","27.29167","28.04568","26.69896","28.88349","27.83623","25.10881","23.39126","29.57431","26.98999"
"P02675_FGB","P02675_FGB","10","5","0.593370162420833","0.0249111798456835","0.0980596952523295","0.18683856166595","0.00335134989382644","0.551322503088893","P02675_FGB","25.12025","23.955","24.80582","24.71926","25.70427","25.86898","24.77158","25.12183","28.55424","26.72819","26.42193","27.88005","25.94159","27.31173","25.55078","25.47664","27.242","26.36453","27.48524","25.0299","22.91028","26.43554","25.0264","26.81946","25.93591","25.82837","26.00438","25.59503","28.14996","28.85046","26.11809","28.45658","27.82881","26.54837"
"P04438","P04438","17","6","0.0107007382233739","0.0212444430526316","0.00292406981825081","0.126889708504498","0.000106712651781174","0.618227038131165","P04438","0","0","21.68663","0","21.86405","0","22.68153","22.29597","22.93025","23.69519","23.15772","22.37597","0","24.2815","0","0","0","22.06158","23.05061","22.93278","23.43352","24.52091","22.5595","23.4148","22.25744","0","0","0","22.45628","21.94903","21.79432","21.06933","0","21.92426"
"CON__P02769_ALB","CON__P02769_ALB","3","7","0.0668118476101103","0.09404075503","0.0402206742545089","0.263547550375983","0.0925375156272107","0.014627750871265","CON__P02769_ALB","28.0805","26.34472","27.38772","28.24441","26.89735","27.61933","27.96069","27.3226","28.71394","28.11857","27.87074","27.92965","29.18369","28.22578","28.6268","27.31536","28.17112","28.49953","29.11135","29.91042","29.81757","30.74751","30.36045","29.85004","29.61742","30.63945","30.10237","31.18187","29.85418","29.42742","30.29691","28.945","28.81598","28.41659"
"P05386_RPLP1","P05386_RPLP1","31","8","0.0709523039630543","0.0111808352983642","0.00180541877299738","0.133941993492469","0.341397915616937","0.296234815401246","P05386_RPLP1","22.09039","22.21193","22.05159","19.08908","18.6888","20.7917","18.82994","21.09023","0","18.0323","0","19.27073","0","0","18.0024","20.27036","18.61079","22.48377","17.98932","0","18.69982","0","20.93099","19.61047","0","0","20.52717","0","19.15066","22.87339","21.49941","24.10286","20.94371","23.65589"
"P04792_HSPB1","P04792_HSPB1","34","9","0.0683417334213307","0.084559441709811","0.00114251449963099","0.0826713365582347","0.415912480317059","0.067731395415166","P04792_HSPB1","26.70253","27.63927","23.15061","23.57277","26.73312","26.20045","23.1215","23.11628","23.53919","20.80128","22.91406","22.73233","22.84157","24.05523","22.54797","25.25021","22.48035","28.40868","25.47803","23.39008","24.24938","23.94476","24.07104","24.99843","22.38013","25.42146","23.75918","24.42918","25.60399","26.045","22.70047","27.79526","24.34996","28.64282"
"P52209_PGD","P52209_PGD","22","10","0.0299220371296572","0.013703607931266","0.0047723479081299","0.295990490469915","0.0162666632816479","0.281043835544961","P52209_PGD","24.05391","24.97036","25.32124","23.87821","24.79917","24.89569","24.92597","25.56075","25.21985","26.41759","26.14313","24.49741","24.16362","23.77676","24.67616","25.81529","24.6147","24.35669","23.70345","23.31962","24.78237","23.56372","23.83036","24.40886","22.46431","24.11267","26.18191","25.2798","24.1292","24.84843","25.10029","24.62132","24.46775","24.70129"
"P07195_LDHB","P07195_LDHB","45","11","2.23866936556566e-05","0.0421478777596955","2.11979844686032e-06","0.115109170264327","0.0181529728601658","0.238608861074026","P07195_LDHB","22.75823","23.29179","21.89308","23.26299","23.67422","23.51364","23.06791","24.15862","22.61385","22.65866","23.25897","23.4675","22.03725","23.0861","23.82182","24.1882","22.28616","20.55693","21.06638","0","0","0","23.71879","23.12209","0","0","23.51292","0","0","24.15298","20.9979","21.13909","24.01044","22.05543"
"P01036_CST4","P01036_CST4","6","12","0.006812514641689","0.00451408570316131","0.0627061817896281","0.00585679398016704","0.0952307342204036","0.123892423795089","P01036_CST4","32.06558","31.15074","30.73497","31.20023","31.92352","30.73417","31.57817","27.99879","0","0","25.82262","0","27.64808","30.2021","30.7319","27.91798","27.92417","27.7449","31.59174","30.36119","29.64901","29.73778","30.04791","29.53211","28.15219","30.27919","28.38595","29.64033","29.60334","21.82807","28.8832","24.31866","0","0"
"P00924_ENO1","P00924_ENO1","4","13","0.00576448179577257","0.0134512429330975","0.0184389928207929","0.044969098992511","0.116433976118981","0.0962766420682329","P00924_ENO1","28.13006","26.9486","26.89458","28.86065","27.27551","26.95947","28.11138","27.14715","28.0592","28.48335","27.4817","27.83792","29.15711","28.20041","28.71895","27.59477","28.57669","28.42089","28.64509","29.57114","29.20086","30.52505","30.08436","29.04682","29.50773","30.95227","30.01452","31.07444","29.84239","29.63528","30.36401","29.01433","28.64986","28.53827"
"CON__P19013","CON__P19013","28","14","0.0157142336271447","0.00586414239263069","2.7637938143691e-05","0.0604046117362374","0.027663113891174","0.127830127804959","CON__P19013","28.27382","30.78386","24.38509","20.39947","26.85507","24.57998","24.32985","24.0685","0","22.2064","22.29275","22.76871","0","0","21.21945","20.06342","0","29.88408","22.62961","0","0","0","25.18476","23.59889","0","0","24.90307","0","22.99502","28.57582","24.17341","30.08309","18.41761","31.62867"
"P01024_C3","P01024_C3","21","15","0.0709982817776252","0.0419837934541206","0.0108380776140828","0.000493513188968333","0.0826726872449195","0.000977075434105897","P01024_C3","24.48376","24.53035","25.49085","23.54156","26.68445","26.1042","25.77992","26.09517","28.06805","26.41664","26.88157","26.97202","27.3256","26.96301","25.89046","26.56909","27.70167","27.03894","27.89001","25.21982","24.99058","27.3138","26.18775","26.84182","25.52256","27.84655","26.31764","25.73092","27.45709","26.9157","26.78357","26.37408","29.14338","25.70322"
"P35579_MYH9","P35579_MYH9","20","16","0.00114411647705532","0.00249156261005242","0.00145373072450375","0.0408364346127674","0.033608582742422","0.0454245539073228","P35579_MYH9","24.77962","24.3678","23.95447","22.07718","26.18262","22.17968","22.28678","23.92316","21.96296","26.00727","21.41952","20.7285","21.93808","20.7075","23.04988","21.87433","23.05864","24.70425","23.50724","21.8271","23.84871","0","21.88811","24.14795","23.57542","23.34313","24.40633","24.67611","23.82736","26.20674","22.90307","27.38764","24.59224","24.96794"
"P07339_CTSD","P07339_CTSD","8","17","0.0079378904124173","0.0243535808607312","0.0270903086445736","5.44591274002776e-05","0.000574276572361413","0.0410670599983279","P07339_CTSD","23.13187","22.78614","23.45551","22.70075","23.96455","22.50031","23.34976","23.32031","20.00498","20.72459","22.68716","22.3218","22.25773","22.50031","21.43527","24.03179","20.62248","22.17877","22.23801","21.83846","23.02433","21.54345","21.80215","22.46978","21.69485","21.09726","20.99037","22.16922","22.19132","21.16411","21.57579","20.65997","22.3943","21.22723"
"P0C0L5_C4B","P0C0L5_C4B","33","18","0.0644602622295976","0.026521454469518","0.00840843479437092","0.0032440555642424","0.00382788294175026","0.0062253696250632","P0C0L5_C4B","22.07401","23.20477","23.1503","21.88584","23.78576","22.68507","22.55178","22.97666","25.86235","23.3434","24.04093","23.23386","24.8124","24.22501","21.78624","25.78132","24.06587","25.85062","23.48726","22.94592","21.77764","23.08234","23.28037","23.64988","22.72945","24.80828","22.93252","24.51785","22.57457","25.45798","23.67142","25.78908","25.10057","24.02454"
"P30740_SERPINB1","P30740_SERPINB1","42","19","0.0198681841566102","0.000922721298477762","0.00725554061264513","0.000226524190430701","0.0113385284181985","0.0473683324332517","P30740_SERPINB1","26.55117","27.0476","25.12554","26.08956","26.29604","25.69864","25.89493","25.13309","24.6513","22.81318","24.95824","24.8435","24.87764","25.59858","26.56326","27.59939","26.18386","26.27652","24.61611","26.0571","27.01999","25.22199","25.63868","26.14367","26.84709","25.39172","25.12451","26.67761","24.72765","24.84254","22.55159","23.78287","24.34394","24.86594"
"P12273_PIP","P12273_PIP","47","20","0.0388817885092326","4.02665888639569e-05","0.00681863263299889","0.00766504734236955","0.0117559181330246","0.0309990386228801","P12273_PIP","30.13038","31.18009","29.33467","30.73957","32.13204","29.9034","29.8931","27.80206","23.47704","26.94581","27.66445","26.07686","30.03039","31.05077","29.27934","28.57928","27.61442","29.4213","31.15116","31.43926","31.43594","28.90196","27.00056","28.34308","27.07674","28.99545","28.28123","30.39928","28.88291","28.43213","27.40162","26.87888","28.71365","26.48933"
"P18206_VCL","P18206_VCL","44","21","0.000470633449082856","0.00150518361109163","8.00522156772603e-05","0.0489014636780763","0.0198645694878162","0.00579126084250511","P18206_VCL","0","20.89719","21.53521","21.48753","21.89789","21.47472","21.36528","22.15085","20.93287","21.75931","23.4968","21.34348","0","0","21.46901","20.58784","20.3931","20.49199","20.02715","0","0","0","0","19.95943","22.43331","0","22.16843","22.98158","20.61881","21.08874","23.16063","21.3989","24.83408","22.08378"
