"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"1","P18206_VCL","P18206_VCL","0.4514","0.3979","-0.1165","-0.7885"
"2","CON__P19013_","CON__P19013_","0.3689","0.4917","-0.2957","-0.5771"
"3","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","-0.5309","0.3361","0.2419","0.0011"
"4","P21333_FLNA","P21333_FLNA","0.5252","-0.0402","-0.2024","-0.3364"
"5","P04438_","P04438_","-0.0028","-0.0598","-0.3822","0.509"
"6","Q8TD19_NEK9","Q8TD19_NEK9","0.2888","0.0011","-0.5027","0.2484"
"7","P01036_CST4","P01036_CST4","-0.4695","0.3699","-0.0949","0.2886"
"8","P13688_CEACAM1","P13688_CEACAM1","0.2575","-0.0563","0.1906","-0.4664"
"9","P01037_CST1","P01037_CST1","-0.4556","0.3563","-0.0822","0.2711"
"10","P61586_RHOA","P61586_RHOA","0.2228","-0.0789","0.2309","-0.4504"
"11","P07900-2_HSP90AA1","P07900-2_HSP90AA1","0.2806","0.1902","-0.0733","-0.432"
"12","Q99879_HIST1H2BM","Q99879_HIST1H2BM","0.1551","0.2377","0.0109","-0.4313"
"13","P63313_TMSB10","P63313_TMSB10","-0.421","0.0281","0.3923","0.0054"
"14","B7Z6Z4_MYL6","B7Z6Z4_MYL6","0.2018","0.1722","0.0052","-0.4136"
"15","P17174_GOT1","P17174_GOT1","-0.4045","0.2772","0.2235","-0.066"
"16","Q9H0U4_RAB1B","Q9H0U4_RAB1B","0.3985","-0.2149","0.0249","-0.279"
"17","P05386_RPLP1","P05386_RPLP1","0.2968","0.3868","-0.3035","-0.3789"
"18","Q02487_DSC2","Q02487_DSC2","-0.3858","0.1645","0.1452","0.1161"
"19","P12429_ANXA3","P12429_ANXA3","0.3781","0.2827","-0.3042","-0.3689"
"20","P12814-3_ACTN1","P12814-3_ACTN1","0.1625","0.1233","0.0523","-0.3739"
"21","P08238_HSP90AB1","P08238_HSP90AB1","0.3726","-0.2431","0.0362","-0.234"
"22","Q32Q12_NME1-NME2","Q32Q12_NME1-NME2","0.1792","0.0469","0.096","-0.3679"
"23","CON__P08779_KRT16","CON__P08779_KRT16","0.2965","0.068","-0.0503","-0.3551"
"24","P19961_AMY2B","P19961_AMY2B","-0.3509","0.162","0.2266","-0.017"
"25","P31025_LCN1","P31025_LCN1","-0.3506","0.1799","0.0836","0.1316"
"26","P09228_CST2","P09228_CST2","-0.3181","0.3489","-0.1955","0.2503"
"27","P35579_MYH9","P35579_MYH9","0.2683","0.1073","-0.065","-0.3445"
"28","P00330_ADH1","P00330_ADH1","0.1718","-0.3437","-0.0917","0.2502"
"29","P68032_ACTC1","P68032_ACTC1","0.1572","-0.317","0.1217","-0.0084"
"30","A0A024R6X1_CES2","A0A024R6X1_CES2","-0.2919","0.3117","-0.2262","0.2927"
"31","O43707_ACTN4","O43707_ACTN4","0.2891","-0.0971","-0.0913","-0.1337"
"32","P06870_KLK1","P06870_KLK1","-0.2856","0.1684","0.0063","0.1574"
"33","Q02413_DSG1","Q02413_DSG1","-0.0551","0.1882","0.135","-0.2814"
"34","P00489_PYGM","P00489_PYGM","0.1567","-0.2568","-0.1063","0.198"
"35","P02769_ALB","P02769_ALB","0.1344","-0.2389","-0.1232","0.2259"
"36","P00924_ENO1","P00924_ENO1","0.1523","-0.226","-0.0998","0.1648"
"37","C9JC84_FGG","C9JC84_FGG","0.2091","-0.1716","0.033","-0.1109"
"38","P02675_FGB","P02675_FGB","0.2067","-0.1752","0.0647","-0.1414"
"39","CON__P00761_","CON__P00761_","-0.1008","0.0474","-0.1063","0.1943"
"40","X6R8F3_LCN2","X6R8F3_LCN2","0.1882","-0.091","-0.033","-0.0901"
"41","P07339_CTSD","P07339_CTSD","-0.1181","0.1753","0","-0.0375"
"42","P30740_SERPINB1","P30740_SERPINB1","-0.1749","0.0328","0.0501","0.1127"
"43","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","0.1565","-0.1665","0.0891","-0.12"
"44","P08311_CTSG","P08311_CTSG","0.1632","0.0602","-0.155","-0.0699"
"45","P52209_PGD","P52209_PGD","0.0326","0.0627","0.047","-0.1555"
"46","P18510-2_IL1RN","P18510-2_IL1RN","-0.1547","0.0998","-0.0423","0.1301"
"47","P0C0L5_C4B","P0C0L5_C4B","0.1503","-0.1346","0.0696","-0.1219"
"48","P22079_LPO","P22079_LPO","-0.1422","0.1215","0.117","-0.0921"
"49","P62937_PPIA","P62937_PPIA","-0.0229","0.0752","0.0704","-0.1307"
