"","gene name","index","rank","v1","v2","v3","v4","v5","v6","names","X12.5fmol_C4","X12.5fmol_C5","X12.5fmol_Ro","X12.5fmol_C8","X12.5fmol_C9","X12.5fmol_C10","X25fmol_semtumorS49","X25fmol_semtumorS55","X25fmol_semtumorS57","X25fmol_semtumorS61","X25fmol_semtumorS64","X25fmol_semtumorS68","X25fmol_semtumorT16","X50fmol_T1T2S78","X50fmol_T1T2S79","X50fmol_T1T2T12","X50fmol_T1T2T20","X50fmol_T1T2T22","X50fmol_T1T2T23","X100fmol_T3T4S81","X100fmol_T3T4S82","X100fmol_T3T4T13","X100fmol_T3T4T2","X100fmol_T3T4T5","X100fmol_T3T4T65","X100fmol_T3T4T9"
"P00330_ADH1","P00330_ADH1","1","1","2.86686498058618","1.76250799425193","3.09544563905533","3.66510851378201","1.94615184120059","1.38815889452767","P00330_ADH1","26.93697","28.13707","26.29019","27.35498","27.73383","27.08274","28.16954","28.32513","29.54331","28.91308","28.886","27.63201","28.71326","30.45435","30.32807","31.02565","30.69876","30.02644","29.96966","31.49109","30.30411","30.0531","30.39785","29.45289","29.12201","29.17752"
"CON__P00761_","CON__P00761_","14","2","1.5343106420933","0.224043985150746","0.285971559269741","1.2357357047393","0.299029267356645","1.07852479903526","CON__P00761_","30.53742","31.96575","30.99301","31.30187","31.34752","30.37026","30.52878","30.59201","29.9194","31.12872","30.60594","28.33981","30.44243","32.15488","32.18881","32.51883","31.86437","31.3714","31.36781","32.03325","31.34562","28.94137","31.8178","28.7855","29.51124","29.34047"
"P00489_PYGM","P00489_PYGM","2","3","0.459326474110639","0.331310374476829","0.282761793673858","0.561857753875805","1.15735508649272","0.977451651000226","P00489_PYGM","27.91952","29.1606","27.66241","28.11585","28.49675","27.5847","28.24059","28.87789","29.90641","29.32789","29.48581","27.92031","28.95876","30.64461","30.57227","31.26472","30.84086","30.13161","30.04531","31.73505","30.74335","30.28218","30.9451","29.74514","29.51906","29.57192"
"X6R8F3_LCN2","X6R8F3_LCN2","36","4","0.139730383185652","0.0794775223842387","0.0161199699399553","0.145641094652995","0.261079702968859","1.32137022568811","X6R8F3_LCN2","24.67514","23.63267","25.50739","25.71432","25.08683","26.259","28.18353","27.13555","24.80612","23.7415","24.91894","24.63334","24.92805","24.82561","23.85814","25.16741","25.29179","25.85448","25.90846","26.77039","26.54626","26.82687","27.85466","26.45367","27.24771","25.53127"
"P22079_LPO","P22079_LPO","25","5","0.00341940312089978","0.0260649218159883","0.00893653381444127","0.0776709891287856","1.12396431356375","0.254930213216902","P22079_LPO","27.81562","28.22972","28.44656","26.76534","27.66214","26.42894","27.54907","26.86726","27.68184","27.73085","27.73538","28.39354","26.76825","27.54937","27.86402","25.72195","26.19738","25.51581","25.29288","27.66817","26.74996","25.9406","24.08837","24.88413","26.45158","26.74175"
"P02675_FGB","P02675_FGB","11","6","0.297531173206927","0.0531658338228288","0.0636614603684253","0.0236659756541682","0.0311627065400545","0.0303228581904316","P02675_FGB","24.80582","24.71926","25.70427","25.86898","24.77158","25.12183","26.42193","27.88005","25.94159","27.31173","25.55078","25.47664","27.242","25.0299","22.91028","26.43554","25.0264","26.81946","25.93591","25.59503","28.14996","28.85046","26.11809","28.45658","27.82881","26.54837"
"P19961_AMY2B","P19961_AMY2B","7","7","0.0501302261221913","0.0453554240821188","0.0244656502886748","0.00935316167503184","0.2699925535352","0.389214293570023","P19961_AMY2B","30.88845","31.95536","29.58708","29.40833","31.03767","28.1437","31.09409","29.62392","32.22147","31.41785","31.96155","28.26763","29.46766","27.89764","28.00694","27.6421","29.17348","30.6513","30.85942","26.69896","28.88349","27.83623","25.10881","23.39126","29.57431","26.98999"
"P02769_ALB","P02769_ALB","3","8","0.0798223332719559","0.113141363601943","0.0459433000580339","0.14305052378355","0.326643764113328","0.00674703069529542","P02769_ALB","27.38772","28.24441","26.89735","27.61933","27.96069","27.3226","27.87074","27.92965","29.18369","28.22578","28.6268","27.31536","28.17112","29.91042","29.81757","30.74751","30.36045","29.85004","29.61742","31.18187","29.85418","29.42742","30.29691","28.945","28.81598","28.41659"
"A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","16","9","0.0689954768614025","0.00284802890926869","0.0113630017727513","0.0136282661668559","0.10680796677005","0.0283124801660664","A0A087WVW2_IGHG3","22.89623","22.92745","23.6371","23.28814","23.83779","24.17995","23.78107","24.65261","25.78249","26.38535","24.16231","25.09079","24.47364","23.40354","23.02063","24.39624","23.45337","23.59184","24.47599","23.02135","25.6502","25.77092","24.18843","26.93719","26.95903","24.46588"
"Q9H0U4_RAB1B","Q9H0U4_RAB1B","34","10","0.0216471389252709","0.00561322553526207","0.00628246802556761","2.27146547851139e-05","0.0683745302777989","0.0498619738736325","Q9H0U4_RAB1B","22.56895","0","20.47239","21.22788","0","22.91568","21.60345","20.55946","0","19.48489","20.89667","20.29524","20.95837","0","19.55843","0","22.08861","20.44577","20.02999","21.25165","20.2247","22.87324","22.79723","24.84886","22.14299","24.07145"
"P08311_CTSG","P08311_CTSG","30","11","0.0758193912225627","0.000367141184631876","0.0482731933958704","3.64746014895695e-05","0.113767650160797","0.00724337093231576","P08311_CTSG","24.60518","23.35367","25.95163","24.22413","23.52432","23.63445","23.30925","23.40989","24.55923","21.58348","23.63688","22.62297","21.78672","22.05679","23.60456","23.30522","24.17547","25.13915","22.55604","24.56535","24.63301","25.31962","23.31147","26.16241","23.87173","25.76134"
"P00924_ENO1","P00924_ENO1","4","12","0.0254332111755397","0.0279132176433655","0.0373299997483094","0.033006883394979","0.0568447920159979","0.0214069671013357","P00924_ENO1","26.89458","28.86065","27.27551","26.95947","28.11138","27.14715","27.4817","27.83792","29.15711","28.20041","28.71895","27.59477","28.57669","29.57114","29.20086","30.52505","30.08436","29.04682","29.50773","31.07444","29.84239","29.63528","30.36401","29.01433","28.64986","28.53827"
"P04438_","P04438_","38","13","0.0114542997858917","0.0187356590818558","0.000133909399978228","0.0574575907197013","0.0178216428661399","0.0493701732547817","P04438_","21.68663","0","21.86405","0","22.68153","22.29597","23.15772","22.37597","0","24.2815","0","0","0","22.93278","23.43352","24.52091","22.5595","23.4148","22.25744","0","22.45628","21.94903","21.79432","21.06933","0","21.92426"
"P30740_SERPINB1","P30740_SERPINB1","31","14","0.0301187163998021","0.0025563624944776","0.00753203310478848","0.0212501124248699","0.0113702379763449","0.050594705755045","P30740_SERPINB1","25.12554","26.08956","26.29604","25.69864","25.89493","25.13309","24.95824","24.8435","24.87764","25.59858","26.56326","27.59939","26.18386","26.0571","27.01999","25.22199","25.63868","26.14367","26.84709","26.67761","24.72765","24.84254","22.55159","23.78287","24.34394","24.86594"
"A0A024R6X1_CES2","A0A024R6X1_CES2","6","15","0.00140242091209318","6.46710518000601e-05","0.000919191821864991","0.00719632931487281","0.0554507448682169","0.00234645752184431","A0A024R6X1_CES2","23.35904","22.61349","22.14604","23.17141","22.7577","22.92236","22.37111","0","0","22.26267","21.65648","24.40775","21.69757","22.15054","23.32155","22.01601","22.5214","22.18909","23.33674","21.76276","21.14694","0","21.1187","0","21.21939","21.36357"
"P12429_ANXA3","P12429_ANXA3","43","16","0.0634323532674226","0.0213380726095111","0.00133310175728895","0.000163970709614905","0.0112418902343869","0.00192645438527391","P12429_ANXA3","21.62154","23.49911","24.79248","21.3218","22.08219","21.64887","0","21.98801","21.45719","0","21.78245","19.55174","21.69774","0","0","21.27611","22.01185","21.78867","21.36864","23.38627","21.49687","24.98098","21.16085","28.09542","22.42877","24.20404"
"P13688_CEACAM1","P13688_CEACAM1","37","17","0.00382809045747748","0.000185247394780187","0.00130111880161253","0.00357300745566268","0.0016992999894297","0.0513328129316193","P13688_CEACAM1","23.12198","0","22.67502","21.94178","22.29978","21.77917","22.31246","21.25384","21.05881","21.21466","21.66739","21.64201","21.11191","20.48513","20.58564","21.29972","0","0","21.25379","21.35499","20.8219","20.84973","22.40164","24.56419","21.97614","23.66166"
"P21333_FLNA","P21333_FLNA","22","18","0.00489658349137154","0.000244838992151631","0.000325503899387567","0.00938586449563884","0.00512491715948006","0.0624806618644112","P21333_FLNA","23.63755","0","21.86869","22.66349","0","24.13297","22.54411","23.85129","0","0","22.35925","21.95911","0","0","20.97113","0","22.61063","22.15949","0","23.63201","22.30349","24.5786","24.44676","25.00958","22.59268","24.29831"
"P07339_CTSD","P07339_CTSD","13","19","0.0159623330481795","0.0114708711689619","0.0346475164598646","0.00319630445263602","0.000182764978523616","3.95261257150007e-05","P07339_CTSD","23.45551","22.70075","23.96455","22.50031","23.34976","23.32031","22.68716","22.3218","22.25773","22.50031","21.43527","24.03179","20.62248","21.83846","23.02433","21.54345","21.80215","22.46978","21.69485","22.16922","22.19132","21.16411","21.57579","20.65997","22.3943","21.22723"
"P0C0L5_C4B","P0C0L5_C4B","26","20","0.0312272673870691","0.0023035603261039","0.0234073518142911","0.0011575586068085","0.0172235848210141","0.000539852008010457","P0C0L5_C4B","23.1503","21.88584","23.78576","22.68507","22.55178","22.97666","24.04093","23.23386","24.8124","24.22501","21.78624","25.78132","24.06587","22.94592","21.77764","23.08234","23.28037","23.64988","22.72945","24.51785","22.57457","25.45798","23.67142","25.78908","25.10057","24.02454"
"P62937_PPIA","P62937_PPIA","39","21","5.45996591827194e-05","0.00839755590529399","0.00262965878331989","0.0364143744834231","0.00371007221009284","0.000140338230466984","P62937_PPIA","28.15475","27.49717","27.46591","28.55384","28.09068","28.00881","29.06","28.51807","27.27133","26.93438","28.00035","27.99361","27.77706","26.45711","27.12741","27.37989","27.1044","27.64251","25.52022","27.85763","26.82287","27.55362","26.96334","26.95626","28.12273","27.82256"
"P01036_CST4","P01036_CST4","8","22","0.0165121524927133","1.23031479542772e-06","0.0250654010449714","0.000108548739227122","0.00787430868967733","0.000835211501634997","P01036_CST4","30.73497","31.20023","31.92352","30.73417","31.57817","27.99879","25.82262","0","27.64808","30.2021","30.7319","27.91798","27.92417","30.36119","29.64901","29.73778","30.04791","29.53211","28.15219","29.64033","29.60334","21.82807","28.8832","24.31866","0","0"
"P18510-2_IL1RN","P18510-2_IL1RN","48","23","0.000217848454459705","0.000109066447687598","0.00716534903388999","0.0129511238478547","0.00151516447094852","0.0205474583667562","P18510-2_IL1RN","26.70715","25.8394","23.80853","24.62338","26.42905","25.39647","25.02424","22.75385","23.93885","25.46279","24.63749","27.11128","23.60693","26.00999","26.28995","24.801","25.03649","24.80243","26.91376","25.47559","23.4197","24.63716","23.40276","23.64053","24.38291","23.03966"
"P35579_MYH9","P35579_MYH9","10","24","0.000345123910121931","0.00031451891814609","0.000559326202487578","0.00134384840944531","0.014273021270766","0.0267908045553949","P35579_MYH9","23.95447","22.07718","26.18262","22.17968","22.28678","23.92316","21.41952","20.7285","21.93808","20.7075","23.04988","21.87433","23.05864","21.8271","23.84871","0","21.88811","24.14795","23.57542","24.67611","23.82736","26.20674","22.90307","27.38764","24.59224","24.96794"
"P05386_RPLP1","P05386_RPLP1","29","25","0.0314327259638392","0.00260067177926608","0.00024226517764424","7.92435972335284e-05","0.00356890810393981","6.67318595020608e-05","P05386_RPLP1","22.05159","19.08908","18.6888","20.7917","18.82994","21.09023","0","19.27073","0","0","18.0024","20.27036","18.61079","0","18.69982","0","20.93099","19.61047","0","0","19.15066","22.87339","21.49941","24.10286","20.94371","23.65589"
"P63313_TMSB10","P63313_TMSB10","15","26","0.0052813889509484","0.0098992714701393","0.00234506053686835","0.00076795513368804","0.0118187798764814","0.00293865354978758","P63313_TMSB10","23.33484","0","23.34313","24.23133","23.46451","23.76213","24.72515","24.51184","23.93688","24.67912","25.24118","25.37786","24.79069","23.30814","24.74212","0","23.14263","21.78001","23.27753","0","23.67605","23.07708","0","22.53941","24.84192","0"
"C9JC84_FGG","C9JC84_FGG","44","27","0.00300895795833956","0.000781881492518024","0.00485299204835118","0.00742314222553593","0.0114792702155327","0.00839209623370321","C9JC84_FGG","22.4901","21.82842","23.96693","25.34908","24.67314","24.71618","24.46457","26.57888","24.22472","26.15468","24.2059","24.71167","24.95965","24.36606","23.23055","26.19334","24.09523","24.59958","22.68545","23.99774","26.18408","27.42037","24.82041","27.01169","27.42694","25.70504"
"P09228_CST2","P09228_CST2","9","28","0.012182221564335","0.000423780318717607","0.00162972121548606","5.24929827344068e-05","0.011905163724093","0.000172496266089882","P09228_CST2","30.93747","30.435","29.00062","29.39887","31.02082","29.89894","24.31154","0","27.73389","28.32946","30.92181","26.38962","26.07218","30.64779","28.18296","30.23831","29.1344","29.281","25.9052","28.58917","28.65209","0","28.43686","22.13028","22.90036","22.45603"
"P18206_VCL","P18206_VCL","28","29","2.39740479865424e-05","0.00664134327149375","2.15849886591883e-05","3.20783600516899e-06","0.00495304790947434","0.0117635109373449","P18206_VCL","21.53521","21.48753","21.89789","21.47472","21.36528","22.15085","23.4968","21.34348","0","0","21.46901","20.58784","20.3931","0","0","0","0","19.95943","22.43331","22.98158","20.61881","21.08874","23.16063","21.3989","24.83408","22.08378"
"P52209_PGD","P52209_PGD","40","30","0.00710418391824804","0.00340769841443201","0.00176890494967072","0.00526665979567789","4.98754629783046e-05","0.0072927322484506","P52209_PGD","25.32124","23.87821","24.79917","24.89569","24.92597","25.56075","26.14313","24.49741","24.16362","23.77676","24.67616","25.81529","24.6147","23.31962","24.78237","23.56372","23.83036","24.40886","22.46431","25.2798","24.1292","24.84843","25.10029","24.62132","24.46775","24.70129"
"P31025_LCN1","P31025_LCN1","32","31","0.000246076933062496","8.29895118620011e-05","0.000862106821319178","0.000181776163876425","0.0164288717409781","0.00518243952067065","P31025_LCN1","27.66959","30.58289","29.43237","27.04604","30.7024","29.07849","27.06733","29.63571","30.29329","29.42492","29.20865","24.88166","28.54775","30.68479","29.78759","26.55317","26.7465","29.02195","29.76612","28.51563","26.98989","21.04634","26.2926","22.13173","26.51838","27.10049"
"P08238_HSP90AB1","P08238_HSP90AB1","17","32","0.0133356148944675","0.00490172378607513","0.000999415675052371","1.04179009213838e-05","0.000773019080659634","0.00200186725555214","P08238_HSP90AB1","22.43357","0","23.55836","20.78181","0","21.7984","22.28054","21.95539","21.31313","0","20.96846","21.79471","21.47363","0","22.08615","21.5727","22.85384","22.79761","0","22.96967","23.66166","22.84176","22.21975","23.23317","23.07503","23.64438"
"Q8TD19_NEK9","Q8TD19_NEK9","12","33","0.00956023139109347","0.00107493785055851","0.00105009318922698","0.000851384911669572","0.00375965340809126","0.00034321995556992","Q8TD19_NEK9","21.27304","22.81427","22.57052","21.10521","23.8319","22.17139","0","23.92561","24.57554","23.82124","21.63671","23.9526","0","22.86257","23.47469","25.68699","27.78257","25.10538","24.90003","27.33637","25.35599","25.95462","25.49613","26.50587","23.56139","23.635"
