"X","X.1","out$p.value"
"P18206_VCL","P18206_VCL",0.000113835785828202
"CON__P19013_","CON__P19013_",0.00190498925700669
"Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5",0.00466435823616246
"P05386_RPLP1","P05386_RPLP1",0.0175067295886169
"Q8TD19_NEK9","Q8TD19_NEK9",0.0180251763597074
"P04438_","P04438_",0.0185539424279479
"P21333_FLNA","P21333_FLNA",0.0244830976286587
"P63313_TMSB10","P63313_TMSB10",0.0257918498808415
"P01036_CST4","P01036_CST4",0.0276399793774947
"P12429_ANXA3","P12429_ANXA3",0.028104635870514
"P01037_CST1","P01037_CST1",0.0316113445279871
"A0A024R6X1_CES2","A0A024R6X1_CES2",0.0364847506660792
"P61586_RHOA","P61586_RHOA",0.0366808307526807
"P17174_GOT1","P17174_GOT1",0.0466163785823018
"P13688_CEACAM1","P13688_CEACAM1",0.0468058270850457
"Q02487_DSC2","Q02487_DSC2",0.0590652299120124
"P07900-2_HSP90AA1","P07900-2_HSP90AA1",0.0634038798131896
"Q9H0U4_RAB1B","Q9H0U4_RAB1B",0.0775210146882438
"P08238_HSP90AB1","P08238_HSP90AB1",0.0849824472585121
"P09228_CST2","P09228_CST2",0.124752805251978
"P68032_ACTC1","P68032_ACTC1",0.155142109719512
"P31025_LCN1","P31025_LCN1",0.300840601021001
"P00330_ADH1","P00330_ADH1",0.329114684744926
"Q99879_HIST1H2BM","Q99879_HIST1H2BM",0.348000533615105
"P19961_AMY2B","P19961_AMY2B",0.356457366419227
"CON__P08779_KRT16","CON__P08779_KRT16",0.381638308642834
"B7Z6Z4_MYL6","B7Z6Z4_MYL6",0.397661895434641
"P06870_KLK1","P06870_KLK1",0.444475237007541
"P02769_ALB","P02769_ALB",0.447266240694364
"O43707_ACTN4","O43707_ACTN4",0.452298820917941
"P35579_MYH9","P35579_MYH9",0.453547950950229
"P00489_PYGM","P00489_PYGM",0.457769127894722
"Q32Q12_NME1-NME2","Q32Q12_NME1-NME2",0.47571504856266
"P00924_ENO1","P00924_ENO1",0.516957436990811
"P12814-3_ACTN1","P12814-3_ACTN1",0.5478532300662
"Q02413_DSG1","Q02413_DSG1",0.55936956834412
"CON__P00761_","CON__P00761_",0.600102312229878
"P30740_SERPINB1","P30740_SERPINB1",0.62052707530084
"P18510-2_IL1RN","P18510-2_IL1RN",0.664075800788049
"P02675_FGB","P02675_FGB",0.744798477352872
"C9JC84_FGG","C9JC84_FGG",0.746011523844618
"A0A087WVW2_IGHG3","A0A087WVW2_IGHG3",0.757995587211864
"P22079_LPO","P22079_LPO",0.808828474100242
"P0C0L5_C4B","P0C0L5_C4B",0.81276499464909
"X6R8F3_LCN2","X6R8F3_LCN2",0.864762119467253
"P07339_CTSD","P07339_CTSD",0.884278759682273
"P62937_PPIA","P62937_PPIA",0.924730956263613
"P08311_CTSG","P08311_CTSG",0.947195419656604
"P52209_PGD","P52209_PGD",0.96683480549902
