"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"1","P01036_CST4","P01036_CST4","0.1138","0.4132","-0.7846","0.2771"
"2","P01037_CST1","P01037_CST1","0.1204","0.404","-0.7547","0.2521"
"3","A0A087WZH9_","A0A087WZH9_","0.3148","0.2431","0.2716","-0.6954"
"4","P04438_","P04438_","-0.2066","-0.5723","0.0859","0.5348"
"5","P28325_CST5","P28325_CST5","-0.2286","0.3774","-0.4936","0.3488"
"6","P09228_CST2","P09228_CST2","-0.1382","0.3762","-0.4918","0.2692"
"7","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","0.1211","-0.4866","0.221","0.0656"
"8","P12429_ANXA3","P12429_ANXA3","0.4012","0.3378","-0.4735","-0.1901"
"9","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","-0.4563","0.3847","0.0173","0.0957"
"10","P00450_CP","P00450_CP","0.1695","-0.4132","0.1193","0.0573"
"11","P00330_ADH1","P00330_ADH1","0.2393","-0.405","-0.0958","0.1782"
"12","Q14697-2_GANAB","Q14697-2_GANAB","0.1819","0.173","0.1218","-0.3955"
"13","A0A024R6X1_CES2","A0A024R6X1_CES2","-0.1543","0.3829","-0.3553","0.1587"
"14","P19961_AMY2B","P19961_AMY2B","-0.3827","0.1469","0.2386","0.0159"
"15","P32119_PRDX2","P32119_PRDX2","0.162","0.0907","-0.3702","0.1141"
"16","Q8TD19_NEK9","Q8TD19_NEK9","0.3302","-0.1701","-0.3322","0.1293"
"17","P00489_PYGM","P00489_PYGM","0.2254","-0.3111","-0.1061","0.1289"
"18","P02769_ALB","P02769_ALB","0.2045","-0.2953","-0.1147","0.1429"
"19","P04792_HSPB1","P04792_HSPB1","0.0971","0.187","-0.2779","0.0179"
"20","O43707_ACTN4","O43707_ACTN4","0.2664","-0.1152","-0.116","-0.0453"
"21","P00924_ENO1","P00924_ENO1","0.2334","-0.2597","-0.1154","0.0915"
"22","P12273_PIP","P12273_PIP","-0.0832","0.2456","-0.1893","0.0542"
"23","P35579_MYH9","P35579_MYH9","0.2124","0.1313","-0.0473","-0.2429"
"24","P00738_HP","P00738_HP","-0.0183","-0.2351","0.1831","0.0322"
"25","P01024_C3","P01024_C3","0.077","-0.2189","0.1052","0.0047"
"26","Q06830_PRDX1","Q06830_PRDX1","0.1336","0.1534","-0.0286","-0.207"
"27","P02675_FGB","P02675_FGB","0.1377","-0.2011","0.1226","-0.077"
"28","P07339_CTSD","P07339_CTSD","-0.1195","0.1983","-0.0633","0.0112"
"29","P01859_IGHG2","P01859_IGHG2","0.0371","-0.1933","0.144","-0.0135"
"30","P02787_TF","P02787_TF","-0.0559","-0.1782","0.1413","0.0589"
