"","gene name","index","rank","v1","v2","v3","v4","v5","v6","names","X12.5fmol_C2","X12.5fmol_C3","X12.5fmol_C4","X12.5fmol_C5","X12.5fmol_Ro","X12.5fmol_C8","X25fmol_semtumorS36","X25fmol_semtumorS40","X25fmol_semtumorS49","X25fmol_semtumorS55","X25fmol_semtumorS57","X25fmol_semtumorS61","X25fmol_semtumorS64","X50fmol_T1T2S57","X50fmol_T1T2S77","X50fmol_T1T2S78","X50fmol_T1T2S79","X50fmol_T1T2T12","X50fmol_T1T2T20","X50fmol_T1T2T22","X50fmol_T1T2T23","X100fmol_T3T4S44","X100fmol_T3T4S45","X100fmol_T3T4S81","X100fmol_T3T4S82","X100fmol_T3T4T13","X100fmol_T3T4T2","X100fmol_T3T4T5"
"P00330_ADH1","P00330_ADH1","1","1","2.14629830587971","1.48575787323766","1.17418400359708","3.5235681383322","3.53234895722397","0.885144933363571","P00330_ADH1","27.43086","26.84206","26.93697","28.13707","26.29019","27.35498","29.06106","28.50964","28.16954","28.32513","29.54331","28.91308","28.886","29.31223","29.76199","30.45435","30.32807","31.02565","30.69876","30.02644","29.96966","31.36771","30.53482","31.49109","30.30411","30.0531","30.39785","29.45289"
"P00924_ENO1","P00924_ENO1","4","2","0.0034313680458463","0.00445735984920842","0.025955629261743","0.592934578174381","0.680495211362783","2.12833713541152","P00924_ENO1","28.13006","26.9486","26.89458","28.86065","27.27551","26.95947","28.0592","28.48335","27.4817","27.83792","29.15711","28.20041","28.71895","28.42089","28.64509","29.57114","29.20086","30.52505","30.08436","29.04682","29.50773","30.95227","30.01452","31.07444","29.84239","29.63528","30.36401","29.01433"
"P02675_FGB","P02675_FGB","19","3","0.970235774605646","0.155054065790504","0.239538608074422","0.00527233745406982","0.138426799655208","1.04507020837399","P02675_FGB","25.12025","23.955","24.80582","24.71926","25.70427","25.86898","28.55424","26.72819","26.42193","27.88005","25.94159","27.31173","25.55078","26.36453","27.48524","25.0299","22.91028","26.43554","25.0264","26.81946","25.93591","25.82837","26.00438","25.59503","28.14996","28.85046","26.11809","28.45658"
"P04438_","P04438_","9","4","0.206619910757842","0.307167653908791","0.00272235023795484","0.626723379444613","0.0317269773844066","0.70884296944852","P04438_","0","0","21.68663","0","21.86405","0","22.93025","23.69519","23.15772","22.37597","0","24.2815","0","22.06158","23.05061","22.93278","23.43352","24.52091","22.5595","23.4148","22.25744","0","0","0","22.45628","21.94903","21.79432","21.06933"
"P02769_ALB","P02769_ALB","3","5","0.21283050703571","0.0917118407962852","0.163267691373607","0.48250032758268","0.457388386803468","0.113801638778094","P02769_ALB","28.0805","26.34472","27.38772","28.24441","26.89735","27.61933","28.71394","28.11857","27.87074","27.92965","29.18369","28.22578","28.6268","28.49953","29.11135","29.91042","29.81757","30.74751","30.36045","29.85004","29.61742","30.63945","30.10237","31.18187","29.85418","29.42742","30.29691","28.945"
"P04792_HSPB1","P04792_HSPB1","15","6","0.33850079753061","0.04271153743089","0.0122321456050228","0.365530581430816","0.362931778321887","0.0608935328170824","P04792_HSPB1","26.70253","27.63927","23.15061","23.57277","26.73312","26.20045","23.53919","20.80128","22.91406","22.73233","22.84157","24.05523","22.54797","28.40868","25.47803","23.39008","24.24938","23.94476","24.07104","24.99843","22.38013","25.42146","23.75918","24.42918","25.60399","26.045","22.70047","27.79526"
"P19961_AMY2B","P19961_AMY2B","8","7","0.00048797836110388","0.00013451298165477","0.0441790966526116","0.0652314911495609","0.153589644127884","0.752274727353726","P19961_AMY2B","26.97454","31.4352","30.88845","31.95536","29.58708","29.40833","28.15374","29.80676","31.09409","29.62392","32.22147","31.41785","31.96155","29.9211","29.67042","27.89764","28.00694","27.6421","29.17348","30.6513","30.85942","27.29167","28.04568","26.69896","28.88349","27.83623","25.10881","23.39126"
"P00489_PYGM","P00489_PYGM","2","8","0.0741642131862415","0.0569838355779305","0.0694512957721361","0.307823218386731","0.15175977422131","0.0861680161076181","P00489_PYGM","28.01212","27.24554","27.91952","29.1606","27.66241","28.11585","28.98547","28.81821","28.24059","28.87789","29.90641","29.32789","29.48581","29.29253","29.77154","30.64461","30.57227","31.26472","30.84086","30.13161","30.04531","31.53464","30.7925","31.73505","30.74335","30.28218","30.9451","29.74514"
"P01024_C3","P01024_C3","24","9","0.337961507722321","0.0522699376855783","0.0382637007522903","0.0159705313099371","0.0541731324703185","0.021080923324402","P01024_C3","24.48376","24.53035","25.49085","23.54156","26.68445","26.1042","28.06805","26.41664","26.88157","26.97202","27.3256","26.96301","25.89046","27.03894","27.89001","25.21982","24.99058","27.3138","26.18775","26.84182","25.52256","27.84655","26.31764","25.73092","27.45709","26.9157","26.78357","26.37408"
"P35579_MYH9","P35579_MYH9","30","10","0.0129496943509677","0.000106094386155673","0.00218528699448344","0.26866446091663","0.0253817055019161","0.148102548007864","P35579_MYH9","24.77962","24.3678","23.95447","22.07718","26.18262","22.17968","21.96296","26.00727","21.41952","20.7285","21.93808","20.7075","23.04988","24.70425","23.50724","21.8271","23.84871","0","21.88811","24.14795","23.57542","23.34313","24.40633","24.67611","23.82736","26.20674","22.90307","27.38764"
