"X","X.1","out$p.value"
"Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5",0.00025158427357488
"E5RHG6_TBCA","E5RHG6_TBCA",0.000548318873096015
"P12429_ANXA3","P12429_ANXA3",0.00454569267310095
"Q8TD19_NEK9","Q8TD19_NEK9",0.0226232645412094
"P04438_","P04438_",0.0267063015075101
"P01036_CST4","P01036_CST4",0.0385506863770568
"P01037_CST1","P01037_CST1",0.0402743118501618
"A0A087WVW2_IGHG3","A0A087WVW2_IGHG3",0.0410587294475416
"P12814-3_ACTN1","P12814-3_ACTN1",0.0756855409254975
"Q99879_HIST1H2BM","Q99879_HIST1H2BM",0.115646435848305
"O43707_ACTN4","O43707_ACTN4",0.117250803140117
"P09228_CST2","P09228_CST2",0.123417050625394
"A0A087WZM2_RNASET2","A0A087WZM2_RNASET2",0.244451581477723
"P32119_PRDX2","P32119_PRDX2",0.295592461445007
"P00441_SOD1","P00441_SOD1",0.424387072236089
"Q02487_DSC2","Q02487_DSC2",0.462758778298905
"P00330_ADH1","P00330_ADH1",0.488154507805428
"P00489_PYGM","P00489_PYGM",0.562175096881324
"P00450_CP","P00450_CP",0.584752360159387
"P02675_FGB","P02675_FGB",0.589961543660673
"P00924_ENO1","P00924_ENO1",0.599459151730213
"P00738_HP","P00738_HP",0.603369762302004
"A0A024R6X1_CES2","A0A024R6X1_CES2",0.607094671673859
"P02671_FGA","P02671_FGA",0.625771453098641
"P02769_ALB","P02769_ALB",0.629051495930011
"P0C0L5_C4B","P0C0L5_C4B",0.63787190118682
"P01024_C3","P01024_C3",0.657474423459501
"P19961_AMY2B","P19961_AMY2B",0.677048968996584
"P52209_PGD","P52209_PGD",0.691535301821294
"P02787_TF","P02787_TF",0.731009464874048
"P07237_P4HB","P07237_P4HB",0.803059229232849
"P04080_CSTB","P04080_CSTB",0.978503886726009
"P07339_CTSD","P07339_CTSD",0.978745113238434
