"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"1","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","-0.7208","0.4195","0.0633","0.3475"
"2","E5RHG6_TBCA","E5RHG6_TBCA","-0.6826","0.232","0.2768","0.2415"
"3","P04438_","P04438_","-0.3103","-0.1868","-0.0318","0.5859"
"4","P12429_ANXA3","P12429_ANXA3","0.4036","0.269","-0.5656","-0.0799"
"5","Q8TD19_NEK9","Q8TD19_NEK9","0.3428","-0.0296","-0.5123","0.2273"
"6","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","0.1191","-0.4596","0.2048","0.0817"
"7","P09228_CST2","P09228_CST2","-0.0784","0.3798","-0.4255","0.2081"
"8","P01037_CST1","P01037_CST1","-0.3172","0.4128","-0.2895","0.295"
"9","P12814-3_ACTN1","P12814-3_ACTN1","0.1661","0.1369","0.0592","-0.3997"
"10","P01036_CST4","P01036_CST4","-0.3136","0.3984","-0.3031","0.3211"
"11","P19961_AMY2B","P19961_AMY2B","-0.3729","0.1119","0.1744","0.1198"
"12","Q99879_HIST1H2BM","Q99879_HIST1H2BM","0.0906","0.2593","0.0049","-0.3707"
"13","P32119_PRDX2","P32119_PRDX2","0.1862","0.1226","-0.367","0.0883"
"14","P00330_ADH1","P00330_ADH1","0.2351","-0.3603","-0.0965","0.1986"
"15","O43707_ACTN4","O43707_ACTN4","0.1969","0.0823","0.0298","-0.3469"
"16","P00489_PYGM","P00489_PYGM","0.2336","-0.2931","-0.1097","0.1486"
"17","P00441_SOD1","P00441_SOD1","-0.1949","0.1587","-0.1775","0.2757"
"18","A0A024R6X1_CES2","A0A024R6X1_CES2","-0.1077","0.2629","-0.043","-0.087"
"19","P02671_FGA","P02671_FGA","0.0618","-0.2599","0.0588","0.1192"
"20","P02769_ALB","P02769_ALB","0.1997","-0.2538","-0.1176","0.1581"
"21","P00924_ENO1","P00924_ENO1","0.2231","-0.2536","-0.0982","0.1079"
"22","Q02487_DSC2","Q02487_DSC2","-0.2161","0.2515","-0.1318","0.1543"
"23","P02675_FGB","P02675_FGB","0.0884","-0.2266","0.1126","-0.0079"
"24","A0A087WZM2_RNASET2","A0A087WZM2_RNASET2","-0.1619","0.1834","0.1932","-0.2199"
"25","P00450_CP","P00450_CP","0.1206","-0.2115","0.0838","-0.0269"
"26","P52209_PGD","P52209_PGD","0.0382","0.0442","0.0996","-0.2049"
"27","P07339_CTSD","P07339_CTSD","-0.1129","0.2025","-0.0611","6e-04"
"28","P00738_HP","P00738_HP","-0.0644","-0.1838","0.2001","0.0255"
"29","P01024_C3","P01024_C3","0.0745","-0.1932","0.0903","9e-04"
"30","P0C0L5_C4B","P0C0L5_C4B","0.1135","-0.1871","0.0678","-0.0244"
"31","P02787_TF","P02787_TF","-0.0983","-0.1574","0.1428","0.1054"
"32","P04080_CSTB","P04080_CSTB","-0.0624","0.1552","-0.0813","0.0125"
"33","P07237_P4HB","P07237_P4HB","0.1269","0.0999","-0.0925","-0.14"
