"","id","name","100fmol -score","12.5fmol -score","25fmol -score","50fmol -score"
"1","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","-0.6239","0.3121","0","0.2401"
"2","E5RHG6_TBCA","E5RHG6_TBCA","-0.5857","0.1246","0.1799","0.1341"
"3","P04438_","P04438_","-0.2134","-0.0794","0","0.4785"
"4","P12429_ANXA3","P12429_ANXA3","0.3067","0.1616","-0.4688","0"
"5","Q8TD19_NEK9","Q8TD19_NEK9","0.2459","0","-0.4154","0.12"
"6","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","0.0222","-0.3522","0.108","0"
"7","P09228_CST2","P09228_CST2","0","0.2725","-0.3286","0.1007"
"8","P01037_CST1","P01037_CST1","-0.2203","0.3054","-0.1926","0.1876"
"9","P12814-3_ACTN1","P12814-3_ACTN1","0.0692","0.0295","0","-0.2924"
"10","P01036_CST4","P01036_CST4","-0.2167","0.291","-0.2062","0.2137"
"11","P19961_AMY2B","P19961_AMY2B","-0.276","0.0045","0.0775","0.0124"
"12","P32119_PRDX2","P32119_PRDX2","0.0894","0.0152","-0.2702","0"
"13","Q99879_HIST1H2BM","Q99879_HIST1H2BM","0","0.1519","0","-0.2633"
"14","P00330_ADH1","P00330_ADH1","0.1382","-0.2529","0","0.0912"
"15","O43707_ACTN4","O43707_ACTN4","0.1001","0","0","-0.2395"
"16","P00489_PYGM","P00489_PYGM","0.1367","-0.1857","-0.0128","0.0413"
"17","P00441_SOD1","P00441_SOD1","-0.098","0.0513","-0.0806","0.1684"
"18","A0A024R6X1_CES2","A0A024R6X1_CES2","-0.0108","0.1555","0","0"
"19","P02671_FGA","P02671_FGA","0","-0.1525","0","0.0118"
"20","P02769_ALB","P02769_ALB","0.1028","-0.1465","-0.0207","0.0507"
"21","P00924_ENO1","P00924_ENO1","0.1262","-0.1462","-0.0013","6e-04"
"22","Q02487_DSC2","Q02487_DSC2","-0.1192","0.1442","-0.0349","0.0469"
"23","P02675_FGB","P02675_FGB","0","-0.1193","0.0157","0"
"24","A0A087WZM2_RNASET2","A0A087WZM2_RNASET2","-0.0651","0.076","0.0963","-0.1125"
"25","P00450_CP","P00450_CP","0.0237","-0.1041","0","0"
"26","P00738_HP","P00738_HP","0","-0.0765","0.1033","0"
"27","P52209_PGD","P52209_PGD","0","0","0.0027","-0.0975"
"28","P07339_CTSD","P07339_CTSD","-0.016","0.0951","0","0"
"29","P01024_C3","P01024_C3","0","-0.0858","0","0"
"30","P0C0L5_C4B","P0C0L5_C4B","0.0166","-0.0797","0","0"
"31","P02787_TF","P02787_TF","-0.0014","-0.05","0.046","0"
"32","P04080_CSTB","P04080_CSTB","0","0.0479","0","0"
"33","P07237_P4HB","P07237_P4HB","0.03","0","0","-0.0326"
