"X","X.1","A2058_1","A2058_2","A2058_3","Skmel_1","Skmel_2","Skmel_3","A431_1","A431_2","A431_3","SCC9_1","SCC9_2","SCC9_3","HEK_1","HEK_2","HEK_3","HaCaT_1","HaCaT_2","HaCaT_3","out$p.value"
"HMCN1","IPI00871227_HMCN1",82.02,93.99,87.07,69.51,82.34,68.33,0,0,0,0,0,0,0,0,0,0,0,0,2.43891010202615e-12
"SPP1","IPI00921882_SPP1",39.32,45.29,42.65,32.54,45.23,41.75,0,0,0,0,0,0,0,0,0,0,0,0,5.16398738080067e-12
"SPP1","IPI00306339_SPP1",43.82,50.41,45.31,32.54,45.23,41.75,0,0,0,0,0,0,0,0,0,0,0,0,9.39187088116262e-12
"IGFBP7","IPI00016915_IGFBP7",47.19,50.41,54.2,51.76,57.98,55.67,19.81,33.16,25.16,30.3,19.91,25.4,8.98,9.28,10.71,17.85,9.17,14.69,4.0046396464554e-11
"MMP8","IPI00027846_MMP8",20.22,29.91,24.88,25.14,18.56,22.78,0,0,0,0,0,0,0,0,0,0,0,0,7.75832078839578e-11
"VIM","IPI00418471_VIM",99.99,52.12,65.74,59.16,86.98,86.04,0,0,0,0,0,0,0,0,0,0,0,0,1.09194270266462e-10
"MEGF10","IPI00064607_MEGF10",19.1,14.53,22.21,16.27,20.87,22.78,0,0,0,0,0,0,0,0,0,0,0,0,1.14973240038925e-10
"CLU","IPI00400826_CLU",3.37,0,0,0,0,0,14.86,13.06,8.39,5.27,6.18,4.56,23.96,26.28,32.14,22.05,23.24,23.94,2.96660127998636e-10
"SRPX","IPI00215899_SRPX",23.59,13.67,29.32,28.1,32.47,26.57,0,0,0,0,0,0,0,0,0,0,0,0,6.2102562745395e-10
"LAMA1","IPI00375294_LAMA1",144.93,137.57,132.38,82.82,163.52,130.33,0,0,0,0,0,0,14.97,0,0,0,0,0,7.24987866742081e-10
"CSPG4","IPI00019157_CSPG4",49.43,58.11,52.42,29.58,47.55,20.24,0,0,0,0,0,0,0,0,0,0,0,0,2.94501898900407e-09
"LUM","IPI00020986_LUM",16.85,27.34,25.76,14.79,10.44,16.45,0,0,0,0,0,0,0,0,0,0,0,0,6.04107959236469e-09
"SPARC","IPI00014572_SPARC",359.52,361.45,362.49,303.17,135.68,118.94,0,0,0,0,0,3.26,2.99,3.09,9.18,6.3,4.28,4.9,1.3006036743663e-08
