"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"1","P04438","P04438","-0.1732","-0.2464","-0.118","0.5741"
"2","P07195_LDHB","P07195_LDHB","-0.2471","0.4071","0.3945","-0.573"
"3","CON__P19013","CON__P19013","0.1724","0.5278","-0.3584","-0.3186"
"4","Q9NQ38-3_SPINK5","Q9NQ38-3_SPINK5","-0.5208","0.3924","0.0828","0.1004"
"5","P18206_VCL","P18206_VCL","0.2489","0.1758","0.0102","-0.4673"
"6","Q8TD19_NEK9","Q8TD19_NEK9","0.3178","-0.0623","-0.4361","0.1953"
"7","P01036_CST4","P01036_CST4","-0.2492","0.429","-0.4295","0.3345"
"8","P01037_CST1","P01037_CST1","-0.2434","0.429","-0.4135","0.3101"
"9","P05386_RPLP1","P05386_RPLP1","0.1486","0.4286","-0.3529","-0.1988"
"10","P09228_CST2","P09228_CST2","-0.1836","0.3989","-0.4196","0.2797"
"11","P12429_ANXA3","P12429_ANXA3","0.3799","0.2964","-0.4127","-0.2595"
"12","A0A087WVW2_IGHG3","A0A087WVW2_IGHG3","0.1327","-0.4113","0.1925","0.0454"
"13","P02760_AMBP","P02760_AMBP","0.1299","-0.39","0.3265","-0.1234"
"14","P00330_ADH1","P00330_ADH1","0.2326","-0.3864","-0.0934","0.2297"
"15","P00450_CP","P00450_CP","0.1753","-0.3859","0.1317","0.0405"
"16","Q99879_HIST1H2BM","Q99879_HIST1H2BM","0.1172","0.2509","-0.0148","-0.3662"
"17","P19961_AMY2B","P19961_AMY2B","-0.3453","0.1447","0.1956","0.0237"
"18","A0A024R6X1_CES2","A0A024R6X1_CES2","-0.1309","0.3451","-0.2682","0.1039"
"19","B7Z6Z4_MYL6","B7Z6Z4_MYL6","0.1469","0.1792","4e-04","-0.3449"
"20","P28325_CST5","P28325_CST5","-0.1205","0.1476","-0.3171","0.3447"
"21","P21333_FLNA","P21333_FLNA","0.3404","-0.1298","-0.0773","-0.1661"
"22","P32119_PRDX2","P32119_PRDX2","0.1739","0.0912","-0.3295","0.0837"
"23","P12814-3_ACTN1","P12814-3_ACTN1","0.1416","0.1147","0.0426","-0.3219"
"24","P08238_HSP90AB1","P08238_HSP90AB1","0.3169","-0.1896","0.019","-0.1883"
"25","P31025_LCN1","P31025_LCN1","-0.2999","0.1714","-0.0099","0.177"
"26","P00489_PYGM","P00489_PYGM","0.2202","-0.2996","-0.1091","0.1746"
"27","P35579_MYH9","P35579_MYH9","0.2226","0.1056","-0.0628","-0.2853"
"28","P01023_A2M","P01023_A2M","0.0122","-0.274","0.1683","0.0709"
"29","CON__P02769_ALB","CON__P02769_ALB","0.1905","-0.2724","-0.1172","0.1899"
"30","B7ZKJ8_ITIH4","B7ZKJ8_ITIH4","0.2119","-0.151","0.1608","-0.2684"
"31","Q14697-2_GANAB","Q14697-2_GANAB","0.032","0.0022","0.1976","-0.2605"
"32","O43707_ACTN4","O43707_ACTN4","0.2563","-0.0872","-0.0989","-0.09"
"33","P04792_HSPB1","P04792_HSPB1","0.1549","0.0894","-0.2515","0.0192"
"34","P00924_ENO1","P00924_ENO1","0.2111","-0.2464","-0.1051","0.1272"
"35","P02675_FGB","P02675_FGB","0.1602","-0.2235","0.1126","-0.0834"
"36","B4E1Z4_CFB","B4E1Z4_CFB","0.2188","-0.167","0.0091","-0.0895"
"37","P12273_PIP","P12273_PIP","-0.0987","0.2184","-0.1697","0.0835"
"38","Q02487_DSC2","Q02487_DSC2","-0.2107","0.2171","-0.1003","0.1329"
"39","P00738_HP","P00738_HP","-0.0097","-0.2165","0.1923","0.0111"
"40","P01024_C3","P01024_C3","0.0941","-0.2128","0.1052","-0.0114"
"41","P02790_HPX","P02790_HPX","0.0822","-0.2108","0.1527","-0.0536"
"42","P07339_CTSD","P07339_CTSD","-0.1255","0.208","-0.0557","-0.0041"
"43","P06870_KLK1","P06870_KLK1","-0.2057","0.1676","-0.0797","0.1535"
"44","P01859_IGHG2","P01859_IGHG2","0.0706","-0.2047","0.1311","-0.0222"
"45","A0A087WV47_IGHG1","A0A087WV47_IGHG1","0.095","-0.1788","0.1067","-0.048"
"46","P02787_TF","P02787_TF","-0.0569","-0.1742","0.153","0.0661"
"47","P0C0L5_C4B","P0C0L5_C4B","0.1217","-0.1698","0.0852","-0.0629"
"48","P52209_PGD","P52209_PGD","0.0391","0.0337","0.0818","-0.1697"
"49","D6RF35_GC","D6RF35_GC","0.0338","-0.1654","0.1234","-0.0114"
"50","CON__P00761","CON__P00761","-0.0322","0.0209","-0.1203","0.1506"
"51","P30740_SERPINB1","P30740_SERPINB1","-0.148","0.0973","-0.0247","0.097"
"52","P18510-2_IL1RN","P18510-2_IL1RN","-0.1419","0.1447","-0.0695","0.0931"
